crop,year,market_price_per_quintal,msp_price_per_quintal
Sugarcane,2024,5552.09,5392.02
Cotton,2013,5377.94,4931.95
Wheat,2011,3592.92,5426.11
Sugarcane,2024,4416.63,4292.9
Cotton,2014,2493.26,945.1
Rice,2021,1553.15,2479.98
Wheat,2018,1113.74,1298.18
Wheat,2015,3137.2,3176.06
Oilseeds,2023,3273.28,1910.6
Pulses,2019,3032.95,2146.86
Maize,2015,3620.26,1394.77
Sugarcane,2014,3508.86,3887.0
Maize,2019,4437.92,5124.1
Maize,2019,5241.04,3978.91
Oilseeds,2013,5329.58,3925.81
Wheat,2019,2369.15,5122.35
Wheat,2018,4069.12,2649.14
Pulses,2024,5817.56,5013.77
Cotton,2010,3697.83,4129.48
Cotton,2018,4119.25,1274.97
Maize,2020,5079.18,4155.71
Wheat,2019,1472.8,1332.46
Pulses,2019,1698.57,4175.83
Oilseeds,2015,5490.21,2024.42
Rice,2020,5712.24,926.35
Rice,2015,2061.63,3638.54
Wheat,2020,1209.41,4088.1
Oilseeds,2015,4976.63,5158.07
Maize,2020,1994.91,1001.38
Maize,2018,4266.49,5449.5
Cotton,2015,1545.59,4420.18
Maize,2015,2777.47,5270.36
Maize,2022,3334.8,2087.28
Sugarcane,2024,2665.73,3186.57
Sugarcane,2024,4030.22,3453.74
Pulses,2024,5257.75,3859.52
Pulses,2012,3732.01,3531.03
Pulses,2011,3663.9,3712.79
Sugarcane,2011,3380.77,5398.42
Cotton,2022,5792.38,1449.2
Oilseeds,2019,902.11,2517.26
Maize,2010,1356.71,4068.67
Wheat,2022,2980.99,4704.27
Sugarcane,2013,5170.36,4096.21
Sugarcane,2022,5643.25,4051.41
Maize,2020,5721.86,4631.3
Pulses,2010,2031.49,5175.66
Pulses,2016,2984.31,3374.47
Pulses,2010,4274.37,1861.37
Oilseeds,2012,5205.67,4911.1
Wheat,2014,4291.62,5171.07
Oilseeds,2023,5485.62,5171.52
Maize,2011,1907.73,3989.11
Wheat,2016,3664.07,3958.81
Rice,2017,3384.26,1643.62
Rice,2015,5257.57,1365.13
Maize,2011,1438.26,2246.71
Maize,2017,3898.41,1822.25
Pulses,2014,4313.21,2411.87
Wheat,2021,1614.14,2781.5
Sugarcane,2017,4762.09,3305.65
Rice,2021,3982.24,3241.95
Sugarcane,2024,1734.36,5301.08
Maize,2014,5505.11,4949.87
Maize,2015,5210.94,2566.79
Oilseeds,2023,1038.74,4979.64
Sugarcane,2024,1879.26,1027.25
Maize,2014,2781.28,4822.6
Maize,2024,3580.61,1096.35
Wheat,2016,3693.85,1948.78
Maize,2024,1548.12,1853.71
Cotton,2014,1377.53,2328.21
Pulses,2023,5649.41,2489.31
Sugarcane,2014,4636.57,4040.61
Maize,2019,1440.2,3184.31
Pulses,2013,5419.56,5283.51
Cotton,2020,2143.24,4693.3
Rice,2021,2796.4,4237.74
Pulses,2018,4137.8,5437.56
Cotton,2023,4168.41,4335.16
Sugarcane,2018,3449.27,1426.99
Sugarcane,2010,1492.36,3235.96
Cotton,2018,2397.9,1811.28
Maize,2024,3302.33,1138.49
Oilseeds,2016,5553.86,5474.64
Cotton,2011,2630.27,5106.86
Maize,2019,4949.86,3764.53
Wheat,2011,848.79,3976.44
Oilseeds,2016,2441.79,2227.56
Pulses,2024,2107.52,1218.54
Oilseeds,2023,5271.85,4597.98
Pulses,2013,1854.23,3532.84
Maize,2015,5462.12,3025.73
Rice,2020,3534.85,3988.76
Rice,2017,5077.97,3165.92
Sugarcane,2018,2611.26,2741.28
Rice,2023,2421.79,4213.21
Rice,2015,1404.08,3350.54
Rice,2022,4083.24,1688.68
Cotton,2014,1615.85,4154.65
Cotton,2012,4186.48,2645.85
Cotton,2023,1146.09,4450.72
Sugarcane,2011,1559.17,5392.81
Maize,2018,5787.06,3225.87
Sugarcane,2022,4632.29,4314.29
Pulses,2020,1386.82,3380.77
Wheat,2010,2822.73,5367.95
Wheat,2024,1510.87,3499.53
Cotton,2023,3310.06,2879.77
Maize,2019,5672.4,2525.44
Cotton,2015,2514.83,1848.02
Maize,2012,4786.25,2574.66
Rice,2016,1418.55,3674.39
Cotton,2018,2584.66,1148.77
Sugarcane,2015,2307.4,3037.19
Oilseeds,2023,1772.26,2318.99
Oilseeds,2018,2284.44,5209.43
Oilseeds,2010,4902.95,4001.79
Pulses,2018,3687.64,4090.41
Rice,2016,4706.12,3916.24
Oilseeds,2018,3142.75,4119.17
Cotton,2023,2566.57,2211.43
Wheat,2022,5003.73,3895.73
Sugarcane,2018,4394.26,3027.44
Cotton,2020,3344.25,3736.74
Rice,2019,5050.58,2994.11
Sugarcane,2013,1301.16,4530.42
Maize,2022,1622.21,2601.6
Rice,2024,4477.39,4816.81
Maize,2023,3175.3,1936.55
Maize,2014,5532.28,4889.94
Sugarcane,2021,4523.16,3160.23
Cotton,2022,814.24,2662.53
Wheat,2012,4999.86,2888.62
Rice,2012,3653.02,4118.1
Cotton,2023,4185.87,2044.04
Sugarcane,2022,5781.61,3919.35
Oilseeds,2016,5718.59,3500.05
Pulses,2024,2797.89,939.47
Sugarcane,2018,2553.62,1388.44
Maize,2024,2245.74,2193.35
Maize,2010,3647.64,4065.48
Oilseeds,2019,3496.58,2107.12
Oilseeds,2021,4773.22,4903.26
Pulses,2024,3810.95,1620.74
Maize,2021,4682.26,920.4
Wheat,2023,1508.43,5251.07
Maize,2017,3381.57,2262.84
Oilseeds,2024,2892.77,3193.3
Rice,2013,2238.17,3454.99
Rice,2018,4901.48,2644.69
Pulses,2019,5257.47,1153.06
Maize,2015,2911.54,3461.55
Maize,2019,4291.61,5486.47
Rice,2016,1766.07,4165.54
Wheat,2020,3744.77,2827.76
Pulses,2010,2815.64,4514.88
Wheat,2014,3914.95,4902.88
Rice,2011,897.38,3427.1
Sugarcane,2022,2849.31,4166.34
Pulses,2020,3524.03,4449.17
Rice,2017,5862.24,2057.83
Cotton,2014,5900.82,3000.08
Maize,2019,3424.16,5070.01
Maize,2010,1730.99,4138.59
Maize,2017,2378.38,2933.87
Wheat,2018,2649.71,2082.89
Cotton,2019,1970.96,1480.89
Rice,2021,4681.2,5380.36
Sugarcane,2020,1087.33,5480.2
Pulses,2021,3152.19,3343.48
Maize,2016,5653.03,910.29
Pulses,2023,4814.84,1789.0
Wheat,2011,2009.09,2167.46
Wheat,2023,1107.11,3013.24
Pulses,2023,4827.87,4222.48
Wheat,2014,1437.71,2281.9
Cotton,2021,818.14,2401.18
Rice,2014,1015.73,1734.44
Wheat,2014,4014.07,3457.13
Oilseeds,2012,1470.44,2535.59
Pulses,2011,1866.26,1449.4
Cotton,2011,1010.44,3036.03
Pulses,2016,3615.9,3952.42
Oilseeds,2023,1242.43,3095.75
Wheat,2011,2011.39,4236.37
Rice,2014,3292.85,3372.57
Cotton,2013,899.9,3034.74
Oilseeds,2023,3475.05,1704.0
Sugarcane,2019,1654.3,2736.35
Rice,2016,3948.28,1605.25
Oilseeds,2011,2140.26,1311.72
Oilseeds,2011,5043.33,1071.85
Wheat,2021,4354.93,1551.33
Oilseeds,2020,3718.28,981.26
Pulses,2020,4115.84,4760.88
Rice,2017,5994.72,2901.35
Pulses,2011,2884.59,1706.47
Cotton,2019,2600.63,1412.8
Oilseeds,2023,3716.63,4897.68
Cotton,2016,1182.52,1152.95
Maize,2022,1171.91,4089.62
Wheat,2022,3973.45,4761.61
Wheat,2010,4585.14,5348.21
Oilseeds,2023,4686.96,1946.03
Maize,2014,4306.48,3467.68
Cotton,2021,4694.41,2038.32
Cotton,2012,2671.75,3509.73
Wheat,2023,4811.22,2205.59
Oilseeds,2023,1953.7,4770.65
Cotton,2015,2447.77,4589.46
Rice,2016,986.57,4198.19
Cotton,2022,5404.95,3496.72
Cotton,2020,4385.3,4391.26
Wheat,2016,5608.69,5060.4
Pulses,2021,2483.22,1230.08
Cotton,2019,5365.88,1185.52
Rice,2015,3703.71,1481.75
Sugarcane,2020,4960.04,3589.23
Sugarcane,2018,3508.67,1905.33
Sugarcane,2012,906.72,4660.3
Wheat,2020,3376.95,1519.33
Sugarcane,2013,4759.1,1299.65
Oilseeds,2019,5842.28,2893.76
Sugarcane,2014,3994.31,4131.76
Rice,2019,4474.37,4185.55
Rice,2024,5516.54,1441.9
Pulses,2013,4809.54,1304.75
Sugarcane,2019,5143.08,904.91
Pulses,2024,4552.15,1391.83
Maize,2010,3611.51,5147.93
Cotton,2010,4478.28,2395.76
Cotton,2021,1520.43,1607.88
Cotton,2011,1377.45,4637.24
Wheat,2018,2829.72,4200.05
Wheat,2014,1476.91,5349.04
Cotton,2011,2929.43,1100.84
Pulses,2015,5505.67,1546.94
Pulses,2017,4879.61,4187.44
Sugarcane,2013,2239.6,2410.43
Maize,2021,5631.64,3600.14
Pulses,2018,1162.89,3762.19
Rice,2017,3474.18,1592.17
Wheat,2022,1644.59,2746.65
Cotton,2024,2538.76,1148.69
Rice,2022,2775.56,2362.8
Sugarcane,2016,3019.21,4948.49
Wheat,2022,4373.65,1587.53
Sugarcane,2014,4240.2,2652.5
Maize,2019,3574.8,4937.71
Maize,2014,2196.91,4208.52
Oilseeds,2015,2656.8,2611.46
Sugarcane,2016,1793.95,3797.74
Pulses,2022,1134.89,4988.97
Wheat,2012,2638.12,5067.2
Wheat,2016,3754.84,2304.36
Rice,2017,3529.6,2387.27
Sugarcane,2023,4169.77,3968.88
Maize,2014,2223.58,2385.83
Pulses,2021,3212.72,2546.76
Rice,2016,5821.17,2196.36
Rice,2015,2625.85,1252.07
Pulses,2022,3078.26,2936.46
Cotton,2017,1237.25,3666.81
Cotton,2013,1532.47,4913.1
Wheat,2014,4140.29,4716.75
Wheat,2015,5747.16,2676.23
Rice,2018,5649.22,5409.17
Maize,2015,3703.87,947.39
Oilseeds,2014,3321.8,4298.42
Sugarcane,2019,5847.35,3824.94
Wheat,2018,3689.47,3171.88
Sugarcane,2020,5649.53,2194.42
Wheat,2020,5079.69,2546.62
Rice,2017,3491.66,1067.04
Cotton,2014,2001.85,4769.79
Oilseeds,2015,3458.8,4775.57
Wheat,2017,4611.84,1969.65
Rice,2013,4637.19,4986.41
Oilseeds,2024,5205.4,5473.03
Wheat,2023,3239.02,3670.01
Pulses,2016,3405.96,3940.45
Cotton,2013,965.89,1104.86
Wheat,2018,3005.54,3952.09
Cotton,2020,5020.75,1638.8
Pulses,2012,3987.3,3883.76
Pulses,2012,981.26,3859.33
Cotton,2013,2162.09,1794.32
Sugarcane,2018,4285.05,2051.39
Cotton,2011,4397.13,1774.81
Oilseeds,2018,4433.88,909.27
Sugarcane,2013,2783.51,4552.89
Oilseeds,2010,3889.9,3377.64
Cotton,2010,3608.92,3371.79
Maize,2017,5244.34,1260.36
Wheat,2014,1495.73,3448.36
Sugarcane,2010,1805.39,3095.08
Rice,2019,5535.71,4136.29
Rice,2014,2375.57,3283.99
Sugarcane,2011,4856.5,4746.0
Sugarcane,2021,5530.88,2695.09
Maize,2013,3253.64,4517.57
Maize,2024,2827.19,1816.62
Rice,2024,2773.06,1390.43
Maize,2013,3452.95,2128.9
Maize,2012,2506.41,3043.08
Oilseeds,2014,5393.96,5391.98
Sugarcane,2022,3299.9,3817.91
Wheat,2023,927.8,936.18
Wheat,2015,2485.46,4284.69
Pulses,2022,2519.09,917.17
Rice,2010,4764.37,2907.1
Sugarcane,2011,4918.38,1819.86
Oilseeds,2015,5288.38,2754.34
Wheat,2016,5588.92,2111.01
Wheat,2014,5092.25,3722.89
Sugarcane,2020,2262.62,1116.36
Wheat,2016,2724.74,1545.64
Wheat,2011,3735.93,1391.13
Cotton,2024,1156.79,5012.81
Pulses,2023,4764.05,2609.76
Rice,2012,3286.45,3825.96
Sugarcane,2018,5612.3,4841.82
Cotton,2010,4475.92,5450.08
Sugarcane,2013,4506.73,4078.53
Rice,2016,1742.92,2223.64
Cotton,2017,5783.06,5412.79
Sugarcane,2015,5851.48,3735.79
Wheat,2019,3868.42,5462.42
Rice,2012,1856.68,2123.45
Oilseeds,2010,1228.43,4345.7
Oilseeds,2014,4841.66,2670.82
Cotton,2011,4084.35,3811.58
Pulses,2021,1620.63,3835.7
Sugarcane,2023,4988.37,1847.98
Cotton,2019,1713.86,5115.42
Oilseeds,2018,1785.33,4696.7
Oilseeds,2012,3754.92,1451.18
Rice,2019,3395.57,4773.92
Oilseeds,2010,4052.16,3239.08
Wheat,2015,3527.14,4305.96
Oilseeds,2010,5124.53,1881.76
Sugarcane,2023,823.88,5483.99
Oilseeds,2012,2838.88,2987.64
Cotton,2022,5063.44,4385.32
Wheat,2013,3651.3,4826.8
Maize,2019,5940.66,1905.34
Wheat,2017,5894.59,3844.13
Maize,2020,5787.31,3342.78
Oilseeds,2018,5896.83,973.24
Oilseeds,2024,3592.53,2283.06
Sugarcane,2018,3418.88,1439.55
Sugarcane,2019,3480.07,2778.56
Cotton,2019,834.15,2184.51
Rice,2019,1920.01,5463.52
Wheat,2021,1763.84,5367.8
Pulses,2016,1487.94,3663.49
Cotton,2014,2085.47,2838.71
Rice,2014,5940.62,4957.76
Rice,2014,814.51,3631.46
Sugarcane,2013,3284.55,2188.27
Maize,2011,5141.02,4625.2
Cotton,2013,2716.27,2409.73
Sugarcane,2014,2396.03,2208.02
Wheat,2010,3169.76,4872.46
Wheat,2012,4992.8,1878.73
Cotton,2021,2218.8,1887.92
Oilseeds,2011,5389.75,5058.43
Pulses,2020,2177.0,4317.32
Sugarcane,2022,2783.31,1471.17
Rice,2012,2847.43,1010.43
Rice,2023,4229.38,1746.05
Oilseeds,2024,1432.52,5479.85
Sugarcane,2019,2207.36,5117.57
Cotton,2012,1440.97,1971.18
Maize,2016,1523.77,3519.1
Maize,2015,3095.53,3534.88
Oilseeds,2023,4012.29,4445.47
Sugarcane,2015,3892.91,2448.77
Sugarcane,2013,4669.23,1216.52
Maize,2024,4181.1,3221.87
Rice,2013,4924.91,2345.85
Sugarcane,2018,5443.61,4578.62
Pulses,2016,3870.92,2128.34
Sugarcane,2024,5816.26,2763.22
Sugarcane,2014,2113.76,1707.54
Maize,2012,4733.04,1052.83
Maize,2022,4337.03,1168.92
Wheat,2015,3900.23,5107.46
Cotton,2024,1424.55,1243.87
Wheat,2012,2817.61,2953.27
Oilseeds,2019,4075.52,3115.68
Oilseeds,2021,4933.69,4528.58
Cotton,2011,897.27,1040.12
Cotton,2011,1930.7,3344.18
Cotton,2022,5506.8,4386.74
Cotton,2015,971.64,907.52
Pulses,2019,1458.23,1985.5
Maize,2019,4822.41,2223.23
Maize,2018,3835.6,3183.9
Wheat,2015,5824.64,3712.12
Pulses,2022,5588.03,1158.55
Sugarcane,2015,4444.11,4745.17
Oilseeds,2011,1487.75,4671.36
Rice,2024,2282.09,5131.21
Wheat,2016,2785.67,4801.81
Maize,2022,1791.87,1463.66
Sugarcane,2016,5503.42,3545.62
Pulses,2023,2622.7,1164.56
Oilseeds,2023,3087.59,4591.82
Rice,2012,3502.95,5389.65
Wheat,2020,5891.34,1662.14
Sugarcane,2015,3452.84,3761.69
Maize,2024,3144.39,4259.94
Wheat,2019,845.65,1609.07
Sugarcane,2022,1253.21,1897.76
Sugarcane,2011,4765.46,2616.45
Pulses,2016,1954.81,1748.0
Maize,2014,3620.24,2379.47
Pulses,2014,1356.51,5498.92
Sugarcane,2017,5394.87,5222.06
Wheat,2019,2731.85,917.89
Pulses,2023,1277.88,4473.12
Pulses,2018,1673.31,3645.5
Cotton,2018,2289.46,4528.48
Maize,2023,1811.48,3133.53
Wheat,2020,4648.7,2783.87
Pulses,2010,2975.15,922.5
Cotton,2021,4442.68,2596.81
Cotton,2012,1434.0,4148.04
Wheat,2019,2722.48,4611.26
Wheat,2022,4075.34,1451.41
Rice,2011,1621.06,1238.71
Pulses,2017,3615.18,4680.34
Cotton,2017,1393.91,2360.48
Wheat,2010,2085.25,4769.32
Cotton,2017,4417.33,5440.98
Wheat,2014,1264.95,1631.99
Cotton,2012,1712.03,2158.3
Oilseeds,2020,5190.65,4407.21
Sugarcane,2019,5703.81,2569.8
Maize,2020,5989.91,1069.6
Wheat,2016,4828.72,3201.08
Cotton,2010,3954.3,2591.03
Sugarcane,2010,2783.59,1480.57
Rice,2019,3891.69,1682.23
Cotton,2013,1959.81,2371.27
Cotton,2023,3762.81,4668.04
Maize,2014,1794.98,1599.6
Sugarcane,2019,2017.31,3180.28
Cotton,2015,5051.57,3360.8
Maize,2022,2790.72,1348.43
Rice,2012,2232.53,3434.27
Maize,2020,5337.78,3256.21
Pulses,2015,5367.48,4079.85
Maize,2013,2300.91,4571.26
Sugarcane,2013,997.92,4753.81
Wheat,2010,1927.06,3284.67
Pulses,2023,1975.71,3472.73
Maize,2023,3349.81,3818.27
Wheat,2024,3278.06,5374.68
Rice,2017,3062.04,1238.12
Oilseeds,2024,1170.11,3456.2
Sugarcane,2020,4300.75,1030.61
Sugarcane,2020,1465.34,4260.91
Sugarcane,2019,4691.03,4549.06
Sugarcane,2022,1655.69,988.64
Rice,2020,3842.79,4760.53
Pulses,2017,5172.38,2749.0
Cotton,2015,1834.96,2261.03
Rice,2019,4735.46,1481.28
Pulses,2010,2120.74,1397.51
Oilseeds,2020,4236.29,2500.05
Pulses,2018,5657.34,2721.31
Oilseeds,2018,2398.25,5432.49
Cotton,2010,5081.92,5159.27
Cotton,2014,1478.36,5246.21
Maize,2014,4436.62,2384.0
Wheat,2024,2005.73,1903.86
Oilseeds,2013,2404.07,1396.74
Pulses,2019,2431.33,2813.96
Wheat,2010,4515.47,2523.24
Oilseeds,2016,4240.7,2327.2
Oilseeds,2011,1654.12,1211.28
Maize,2023,5185.49,2609.16
Sugarcane,2015,2402.22,4771.58
Pulses,2024,2374.03,3815.53
Cotton,2017,1727.47,4869.19
Wheat,2017,1733.75,1164.01
Sugarcane,2020,3509.25,2053.78
Oilseeds,2019,2739.62,2105.3
Rice,2023,2947.61,3419.38
Pulses,2017,2829.9,5278.95
Maize,2017,4362.5,5392.38
Oilseeds,2012,1231.41,4980.55
Rice,2014,2389.88,2873.05
Pulses,2019,5786.65,4827.83
Sugarcane,2020,3302.29,4985.8
Maize,2013,1478.84,3599.31
Pulses,2018,3409.12,2508.99
Wheat,2022,5155.15,3040.32
Maize,2024,2676.53,3428.11
Rice,2019,3620.17,3687.52
Sugarcane,2014,5555.67,2021.92
Sugarcane,2010,3690.53,1712.23
Cotton,2021,4220.47,3421.78
Pulses,2021,912.09,2520.44
Oilseeds,2011,4981.31,4378.17
Oilseeds,2011,5119.02,2925.57
Oilseeds,2014,3900.99,1990.86
Wheat,2021,1275.25,2640.56
Cotton,2018,5868.09,4358.24
Pulses,2015,4358.05,1009.8
Wheat,2020,3106.67,4289.33
Pulses,2020,5354.59,1894.65
Cotton,2020,2919.26,3534.95
Sugarcane,2018,4138.13,2592.04
Wheat,2012,1965.0,3854.6
Rice,2016,5443.39,1324.15
Wheat,2022,3551.46,992.08
Cotton,2017,2029.54,4316.93
Wheat,2020,1247.01,2978.44
Rice,2018,5474.4,2904.87
Cotton,2021,1826.35,1902.3
Cotton,2012,5947.43,4618.48
Sugarcane,2012,1541.98,2121.92
Wheat,2020,3196.06,4559.56
Sugarcane,2020,3556.8,2057.2
Rice,2013,2080.98,2705.64
Sugarcane,2014,5965.41,1217.12
Maize,2021,3802.99,3087.25
Rice,2012,3770.6,4230.98
Oilseeds,2017,5344.3,3566.37
Pulses,2012,3824.09,4315.97
Sugarcane,2018,3281.91,3476.68
Maize,2021,3276.54,5013.44
Maize,2016,4515.81,5433.1
Cotton,2023,2616.04,4340.64
Maize,2016,3455.22,2968.29
Oilseeds,2011,2480.8,3086.09
Rice,2024,5446.56,3873.92
Wheat,2018,1868.01,1862.88
Pulses,2023,3794.95,2352.28
Rice,2020,2467.33,2864.43
Wheat,2014,3675.42,1708.18
Pulses,2018,3510.06,1090.33
Maize,2017,3208.25,3434.36
Maize,2010,3148.57,3007.22
Rice,2016,3093.22,4717.13
Rice,2024,2937.7,3633.52
Wheat,2021,1540.09,4617.79
Sugarcane,2010,5623.86,2546.55
Wheat,2010,5880.69,3864.25
Rice,2023,3205.73,3542.25
Sugarcane,2011,3110.34,4809.77
Cotton,2011,2893.06,3886.57
Pulses,2023,1934.75,1045.76
Cotton,2014,1196.35,3446.34
Pulses,2023,920.96,3865.77
Maize,2022,3732.61,4202.59
Wheat,2013,4484.27,4023.44
Pulses,2012,1278.99,5207.69
Oilseeds,2017,3340.48,2958.3
Rice,2015,1684.7,1029.01
Cotton,2021,1608.19,1177.74
Sugarcane,2021,4621.13,2011.45
Wheat,2024,5593.81,1040.14
Cotton,2017,5512.22,2024.99
Pulses,2015,2275.51,1302.44
Oilseeds,2023,2145.12,1909.27
Oilseeds,2018,3440.15,1386.79
Wheat,2015,5837.29,1189.27
Rice,2015,1028.28,1178.91
Wheat,2022,5649.85,3041.33
Wheat,2018,1579.37,2092.1
Wheat,2020,2598.32,5407.11
Pulses,2024,2242.75,1296.65
Oilseeds,2024,4382.92,1288.39
Rice,2022,4641.75,4146.72
Rice,2021,4757.62,2583.33
Pulses,2019,1206.68,1221.96
Sugarcane,2022,1221.6,3876.54
Cotton,2018,5502.49,3679.7
Cotton,2024,4935.1,3474.89
Maize,2018,5573.71,3305.4
Sugarcane,2019,4399.59,3201.49
Rice,2024,1100.94,3956.35
Maize,2024,4371.47,2424.62
Rice,2024,5497.81,3063.27
Oilseeds,2019,2526.05,2625.16
Wheat,2021,1359.13,2584.82
Cotton,2022,1225.94,2651.24
Maize,2016,1379.02,953.31
Oilseeds,2018,1287.21,1148.47
Rice,2016,3867.49,2933.09
Pulses,2023,2020.66,1070.25
Wheat,2021,1016.26,5207.87
Sugarcane,2010,5532.84,5067.57
Oilseeds,2015,4346.37,3056.23
Rice,2010,5367.87,2101.02
Oilseeds,2021,3351.81,4614.39
Cotton,2024,5371.1,4112.13
Cotton,2012,4502.56,4861.23
Rice,2011,4689.26,4951.22
Sugarcane,2017,2595.15,3533.62
Cotton,2012,2707.77,5121.19
Pulses,2016,5675.07,3823.5
Rice,2016,3467.86,1927.07
Pulses,2019,5878.95,2104.64
Wheat,2014,3069.64,2595.15
Cotton,2022,5518.67,4999.88
Pulses,2012,1560.18,5450.7
Maize,2017,1878.8,3317.74
Rice,2011,4437.13,1179.86
Cotton,2021,5325.24,971.71
Wheat,2023,3377.64,4950.41
Rice,2016,4212.27,2024.31
Pulses,2015,3798.76,5154.9
Cotton,2012,2134.38,1093.24
Pulses,2021,5291.7,1164.69
Wheat,2011,5144.11,3882.58
Wheat,2023,2854.53,4206.92
Rice,2011,883.13,2037.6
Maize,2011,2036.59,4280.54
Cotton,2014,844.76,1816.41
Cotton,2021,5862.33,1886.32
Rice,2024,4988.97,2435.91
Wheat,2024,4886.04,908.62
Sugarcane,2024,5030.02,2575.87
Rice,2010,2708.36,3778.54
Maize,2017,1273.43,5473.61
Sugarcane,2017,4080.13,2934.38
Pulses,2023,4227.89,1541.32
Pulses,2024,3334.76,5075.06
Oilseeds,2021,5964.28,3967.75
Sugarcane,2024,3385.61,3613.15
Pulses,2019,2866.2,1299.07
Cotton,2019,1929.24,1374.76
Wheat,2020,2658.97,5257.84
Maize,2015,3928.0,4023.94
Cotton,2014,2036.68,4769.13
Maize,2011,2901.82,1264.39
Wheat,2016,2134.87,5268.89
Sugarcane,2013,5657.53,3680.44
Rice,2017,5300.45,4153.04
Pulses,2014,1427.99,2869.25
Sugarcane,2019,5552.98,1216.68
Wheat,2015,4333.94,4153.19
Wheat,2011,3487.95,3502.69
Sugarcane,2019,1104.01,1832.47
Maize,2010,3262.48,2797.08
Sugarcane,2014,3916.27,4557.64
Wheat,2020,4962.09,4302.03
Sugarcane,2022,961.44,4995.27
Oilseeds,2013,3339.72,1924.25
Oilseeds,2018,4265.08,3619.92
Cotton,2011,4009.28,5484.88
Rice,2019,2812.37,2970.43
Rice,2023,4304.75,1413.65
Rice,2024,5229.16,2810.3
Wheat,2022,1018.35,4970.37
Rice,2022,1550.51,2802.65
Sugarcane,2017,5157.91,2680.78
Cotton,2022,2510.97,981.27
Sugarcane,2020,2796.15,3358.34
Sugarcane,2011,4385.18,5480.98
Pulses,2024,5951.87,1971.95
Pulses,2015,4607.18,4386.41
Rice,2024,2673.61,1605.39
Wheat,2020,3039.37,2562.65
Cotton,2018,4211.12,3581.87
Oilseeds,2020,3419.67,1906.96
Sugarcane,2010,3233.16,2553.71
Maize,2013,3501.28,4978.49
Wheat,2010,4348.72,1266.19
Maize,2013,2894.94,4971.46
Cotton,2014,1679.59,2199.79
Cotton,2015,3846.17,1342.7
Cotton,2013,2655.77,3116.37
Sugarcane,2021,3361.54,2161.49
Cotton,2018,5904.66,5353.02
Cotton,2020,1964.91,2073.62
Pulses,2021,3867.9,4901.31
Pulses,2024,5050.98,5363.43
Wheat,2023,2799.64,2576.66
Wheat,2024,4169.65,2597.43
Wheat,2014,2396.54,4964.91
Pulses,2022,1872.21,3083.84
Rice,2024,3100.56,4150.59
Sugarcane,2023,4809.81,3033.05
Cotton,2017,3713.27,2704.73
Maize,2021,5150.28,5176.79
Rice,2020,2326.91,2927.29
Pulses,2021,5084.43,3481.51
Maize,2017,5669.28,4416.37
Wheat,2023,2764.66,3997.12
Cotton,2012,5616.06,5328.86
Rice,2016,5386.83,4304.26
Maize,2017,1208.76,4419.53
Wheat,2024,4422.13,2729.54
Maize,2021,5014.41,2806.82
Rice,2024,2771.58,1270.22
Rice,2011,2603.12,4268.7
Cotton,2023,5339.68,1052.09
Oilseeds,2010,3086.73,1564.83
Maize,2022,4326.54,4592.14
Cotton,2019,3278.45,1764.46
Maize,2018,2475.27,1909.76
Rice,2012,5101.36,4808.65
Maize,2011,3344.61,2675.54
Oilseeds,2018,2163.07,2953.18
Wheat,2021,5842.52,3381.73
Cotton,2018,1568.74,1929.6
Rice,2020,1475.4,4400.12
Oilseeds,2016,5487.38,4072.7
Wheat,2015,5494.54,4308.36
Pulses,2022,4761.32,2249.28
Cotton,2024,1584.99,1687.47
Maize,2020,4708.46,4978.64
Sugarcane,2012,1691.21,2516.16
Pulses,2023,1110.04,1258.44
Cotton,2021,2453.65,3287.84
Pulses,2023,4492.07,4772.84
Rice,2011,2501.5,2209.89
Wheat,2011,4526.02,1162.21
Maize,2019,5667.82,5004.62
Maize,2021,3832.78,2329.62
Rice,2013,988.88,3743.01
Pulses,2021,1018.71,1716.58
Wheat,2010,1632.93,3470.66
Wheat,2024,4288.27,3016.96
Wheat,2010,2406.59,5377.17
Wheat,2016,2731.16,1737.3
Sugarcane,2015,2634.85,3782.26
Sugarcane,2023,2700.99,4693.18
Maize,2013,4014.0,1408.34
Rice,2022,3835.57,3622.42
Cotton,2010,5314.16,4054.88
Oilseeds,2023,5933.52,4620.62
Maize,2019,5169.56,3231.79
Sugarcane,2019,4819.51,2983.79
Wheat,2023,2728.34,4096.95
Rice,2011,5557.1,5065.49
Maize,2011,2696.52,2682.06
Cotton,2018,1131.07,2929.0
Cotton,2010,3442.39,2303.18
Oilseeds,2023,2171.71,3842.43
Wheat,2016,3320.42,1323.41
Wheat,2023,4340.95,2350.39
Rice,2021,5284.78,2171.58
Rice,2023,2104.99,3532.78
Maize,2016,5587.53,3515.36
Wheat,2012,5959.87,2759.26
Rice,2021,1846.72,3590.11
Wheat,2022,2604.71,1605.1
Maize,2010,4520.11,1598.72
Pulses,2017,2724.66,3481.65
Oilseeds,2022,1948.92,4109.33
Wheat,2015,2898.43,3620.5
Sugarcane,2011,4463.48,2072.01
Wheat,2017,888.31,1355.88
Pulses,2021,4280.02,5161.62
Oilseeds,2019,5483.47,2933.41
Cotton,2012,5936.36,1301.66
Pulses,2024,2121.84,4273.98
Sugarcane,2017,4675.51,997.8
Sugarcane,2022,1669.6,4197.18
Wheat,2010,2010.92,1328.12
