state,district,crop,season,year,area_hectares,production_tonnes,yield_tonnes_per_hectare
Madhya Pradesh,District_12,Sugarcane,Rabi,2015,4553.81,15088.86,3.31
Maharashtra,District_5,Sugarcane,Kharif,2022,2337.3,13103.25,5.61
Andhra Pradesh,District_3,Wheat,Zaid,2024,4465.93,15889.26,3.56
Telangana,District_11,Maize,Rabi,2019,871.69,18790.76,21.56
Karnataka,District_30,Rice,Kharif,2023,1066.44,11756.73,11.02
Maharashtra,District_4,Sugarcane,Zaid,2014,1796.48,15755.65,8.77
Maharashtra,District_5,Sugarcane,Kharif,2020,1863.31,4063.74,2.18
Andhra Pradesh,District_1,Sugarcane,Rabi,2012,3739.12,8266.3,2.21
Madhya Pradesh,District_27,Cotton,Zaid,2019,3017.08,10648.41,3.53
Madhya Pradesh,District_28,Sugarcane,Kharif,2017,2788.58,10870.15,3.9
Punjab,District_29,Rice,Kharif,2012,3031.76,14394.91,4.75
Karnataka,District_18,Oilseeds,Kharif,2013,3674.35,15939.23,4.34
Madhya Pradesh,District_12,Oilseeds,Rabi,2015,4469.44,13370.37,2.99
Tamil Nadu,District_13,Sugarcane,Kharif,2011,2102.96,1040.19,0.49
Madhya Pradesh,District_41,Rice,Zaid,2023,4024.48,7089.21,1.76
Maharashtra,District_2,Wheat,Zaid,2016,2500.73,11491.54,4.6
Andhra Pradesh,District_37,Oilseeds,Kharif,2014,3624.29,10206.6,2.82
Tamil Nadu,District_45,Maize,Rabi,2021,4380.38,991.46,0.23
Punjab,District_16,Cotton,Zaid,2019,209.46,19614.67,93.64
Karnataka,District_48,Rice,Zaid,2022,2755.82,19126.5,6.94
Punjab,District_24,Oilseeds,Zaid,2014,4947.43,15497.86,3.13
Maharashtra,District_35,Oilseeds,Kharif,2014,2506.31,1201.53,0.48
Tamil Nadu,District_22,Pulses,Zaid,2022,4328.3,8661.14,2.0
Tamil Nadu,District_36,Wheat,Kharif,2022,970.2,8254.41,8.51
Tamil Nadu,District_11,Maize,Kharif,2011,3041.22,11204.72,3.68
Maharashtra,District_46,Maize,Kharif,2020,4358.01,1212.98,0.28
Maharashtra,District_29,Maize,Kharif,2022,2186.09,8530.77,3.9
Punjab,District_35,Rice,Kharif,2024,2459.27,15181.0,6.17
Telangana,District_48,Wheat,Zaid,2024,455.99,19960.36,43.77
Punjab,District_15,Sugarcane,Kharif,2021,258.75,11949.32,46.18
Karnataka,District_31,Pulses,Kharif,2019,2370.11,18818.18,7.94
Andhra Pradesh,District_42,Wheat,Kharif,2018,4225.2,19970.92,4.73
Tamil Nadu,District_41,Wheat,Kharif,2012,4660.06,8752.16,1.88
Telangana,District_43,Oilseeds,Kharif,2021,3310.33,13406.94,4.05
Andhra Pradesh,District_16,Wheat,Kharif,2016,4140.67,4342.98,1.05
Telangana,District_10,Rice,Zaid,2014,3687.53,9565.36,2.59
Madhya Pradesh,District_49,Pulses,Kharif,2019,3522.35,1660.39,0.47
Madhya Pradesh,District_32,Rice,Kharif,2019,3856.71,680.08,0.18
Uttar Pradesh,District_2,Pulses,Zaid,2014,2551.25,17869.09,7.0
Madhya Pradesh,District_24,Pulses,Zaid,2024,2316.79,17182.17,7.42
Punjab,District_23,Oilseeds,Rabi,2013,837.76,6310.09,7.53
Madhya Pradesh,District_2,Rice,Zaid,2019,4226.89,9193.37,2.17
Maharashtra,District_38,Pulses,Zaid,2015,270.84,9922.85,36.64
Tamil Nadu,District_31,Wheat,Kharif,2016,1373.85,10461.95,7.62
Punjab,District_40,Rice,Rabi,2016,2623.58,2777.96,1.06
Andhra Pradesh,District_26,Pulses,Kharif,2020,4859.41,15523.67,3.19
Uttar Pradesh,District_29,Maize,Rabi,2021,3940.57,7021.53,1.78
Uttar Pradesh,District_3,Rice,Kharif,2024,1874.92,730.73,0.39
Uttar Pradesh,District_14,Oilseeds,Zaid,2017,3584.04,13563.57,3.78
Andhra Pradesh,District_25,Cotton,Zaid,2014,4660.28,16614.56,3.57
Andhra Pradesh,District_48,Rice,Rabi,2016,2717.47,18370.72,6.76
Andhra Pradesh,District_1,Rice,Kharif,2021,2336.6,13520.67,5.79
Andhra Pradesh,District_3,Rice,Kharif,2023,2787.32,3906.45,1.4
Uttar Pradesh,District_26,Pulses,Zaid,2024,1592.07,11836.63,7.43
Uttar Pradesh,District_18,Rice,Zaid,2013,4541.38,18244.06,4.02
Telangana,District_9,Cotton,Rabi,2024,3996.54,7076.15,1.77
Punjab,District_38,Sugarcane,Zaid,2018,3542.15,19071.68,5.38
Tamil Nadu,District_23,Rice,Rabi,2014,2966.01,2043.81,0.69
Madhya Pradesh,District_21,Maize,Rabi,2012,4848.9,14588.25,3.01
Madhya Pradesh,District_1,Cotton,Rabi,2014,1523.64,2486.23,1.63
Maharashtra,District_21,Sugarcane,Rabi,2018,1451.52,15997.62,11.02
Uttar Pradesh,District_27,Pulses,Zaid,2022,1248.58,2043.35,1.64
Maharashtra,District_42,Rice,Rabi,2022,3721.79,6581.93,1.77
Punjab,District_6,Sugarcane,Zaid,2020,3996.56,15559.55,3.89
Punjab,District_44,Maize,Rabi,2017,3005.72,9257.85,3.08
Maharashtra,District_36,Cotton,Zaid,2010,3277.32,17665.46,5.39
Uttar Pradesh,District_28,Cotton,Rabi,2014,1777.36,8094.58,4.55
Maharashtra,District_45,Pulses,Zaid,2015,246.8,19899.67,80.63
Madhya Pradesh,District_17,Pulses,Kharif,2024,1305.5,471.63,0.36
Telangana,District_40,Pulses,Rabi,2022,2942.3,13951.64,4.74
Madhya Pradesh,District_3,Sugarcane,Rabi,2019,4074.02,18326.16,4.5
Karnataka,District_12,Rice,Kharif,2022,3897.12,10766.13,2.76
Uttar Pradesh,District_39,Wheat,Kharif,2020,938.46,19771.33,21.07
Uttar Pradesh,District_12,Cotton,Rabi,2011,304.66,14189.69,46.58
Tamil Nadu,District_2,Wheat,Zaid,2023,4260.27,8647.57,2.03
Andhra Pradesh,District_46,Oilseeds,Rabi,2024,424.17,10356.01,24.41
Karnataka,District_22,Cotton,Zaid,2015,1996.89,17561.64,8.79
Punjab,District_23,Pulses,Kharif,2023,516.42,19155.91,37.09
Uttar Pradesh,District_30,Rice,Zaid,2018,2842.04,11162.14,3.93
Maharashtra,District_5,Rice,Rabi,2023,1848.52,6212.29,3.36
Karnataka,District_9,Cotton,Kharif,2013,1052.34,4862.57,4.62
Tamil Nadu,District_21,Sugarcane,Kharif,2012,2996.08,9593.26,3.2
Punjab,District_11,Oilseeds,Rabi,2018,1848.79,5997.14,3.24
Andhra Pradesh,District_5,Pulses,Rabi,2011,875.6,8474.65,9.68
Andhra Pradesh,District_35,Rice,Kharif,2021,3515.43,16705.89,4.75
Tamil Nadu,District_27,Oilseeds,Zaid,2018,4192.2,9492.55,2.26
Tamil Nadu,District_49,Oilseeds,Zaid,2020,1405.03,12853.49,9.15
Maharashtra,District_2,Rice,Zaid,2019,972.8,1893.13,1.95
Uttar Pradesh,District_24,Maize,Rabi,2020,422.5,15266.33,36.13
Andhra Pradesh,District_31,Oilseeds,Kharif,2020,2663.12,9709.79,3.65
Punjab,District_33,Rice,Zaid,2011,4164.9,7282.76,1.75
Karnataka,District_39,Maize,Kharif,2023,1291.41,12258.69,9.49
Punjab,District_30,Rice,Zaid,2022,2330.16,2129.52,0.91
Telangana,District_46,Rice,Kharif,2020,845.98,8338.57,9.86
Telangana,District_37,Oilseeds,Rabi,2023,2050.79,16238.35,7.92
Tamil Nadu,District_28,Sugarcane,Rabi,2024,126.45,5315.07,42.03
Maharashtra,District_31,Sugarcane,Rabi,2019,4558.11,18290.51,4.01
Telangana,District_11,Pulses,Zaid,2012,3399.03,12112.51,3.56
Andhra Pradesh,District_23,Rice,Rabi,2022,1697.43,10861.59,6.4
Punjab,District_2,Pulses,Rabi,2016,4411.93,8051.46,1.82
Punjab,District_40,Pulses,Rabi,2011,955.5,14865.79,15.56
Tamil Nadu,District_41,Pulses,Kharif,2010,439.73,11332.91,25.77
Uttar Pradesh,District_27,Pulses,Kharif,2018,4715.98,15951.19,3.38
Uttar Pradesh,District_35,Cotton,Kharif,2015,1579.63,6700.41,4.24
Karnataka,District_2,Oilseeds,Kharif,2018,4683.07,14070.09,3.0
Tamil Nadu,District_39,Oilseeds,Kharif,2021,3206.18,18874.51,5.89
Madhya Pradesh,District_37,Cotton,Kharif,2012,4901.21,5670.38,1.16
Karnataka,District_21,Rice,Kharif,2012,3779.47,19621.93,5.19
Madhya Pradesh,District_5,Cotton,Rabi,2019,572.15,8269.49,14.45
Uttar Pradesh,District_45,Rice,Rabi,2021,4268.53,866.79,0.2
Tamil Nadu,District_21,Sugarcane,Zaid,2012,782.0,7218.25,9.23
Madhya Pradesh,District_29,Oilseeds,Rabi,2011,3476.38,3077.88,0.89
Tamil Nadu,District_20,Wheat,Kharif,2022,2527.02,6155.28,2.44
Tamil Nadu,District_38,Maize,Kharif,2020,3553.24,2009.8,0.57
Uttar Pradesh,District_20,Oilseeds,Zaid,2015,3836.7,3646.25,0.95
Karnataka,District_50,Cotton,Rabi,2012,4028.14,2621.31,0.65
Karnataka,District_25,Cotton,Rabi,2014,4183.15,965.18,0.23
Tamil Nadu,District_2,Sugarcane,Zaid,2022,4243.76,5994.11,1.41
Telangana,District_32,Cotton,Kharif,2020,2092.24,18825.1,9.0
Maharashtra,District_26,Rice,Kharif,2014,4451.68,18992.93,4.27
Uttar Pradesh,District_6,Rice,Kharif,2019,3611.92,16948.27,4.69
Maharashtra,District_41,Wheat,Kharif,2012,4202.91,341.6,0.08
Maharashtra,District_3,Wheat,Zaid,2012,4946.5,659.66,0.13
Karnataka,District_33,Oilseeds,Rabi,2010,626.25,306.11,0.49
Karnataka,District_1,Wheat,Kharif,2015,1884.37,7396.14,3.92
Telangana,District_5,Rice,Rabi,2012,4042.41,19607.13,4.85
Maharashtra,District_13,Pulses,Rabi,2024,477.2,17947.07,37.61
Maharashtra,District_19,Pulses,Kharif,2010,2726.87,5085.65,1.87
Tamil Nadu,District_12,Wheat,Kharif,2022,4299.07,8262.88,1.92
Karnataka,District_48,Wheat,Kharif,2023,144.01,16506.12,114.62
Maharashtra,District_25,Rice,Rabi,2023,4700.62,15195.81,3.23
Punjab,District_35,Sugarcane,Zaid,2022,4891.82,2739.1,0.56
Telangana,District_12,Oilseeds,Kharif,2019,1645.29,2244.76,1.36
Madhya Pradesh,District_30,Cotton,Rabi,2018,3845.62,10920.04,2.84
Punjab,District_5,Oilseeds,Rabi,2020,679.52,2132.03,3.14
Punjab,District_34,Maize,Kharif,2010,3875.68,16517.87,4.26
Madhya Pradesh,District_22,Pulses,Zaid,2014,2433.53,5141.2,2.11
Uttar Pradesh,District_39,Pulses,Kharif,2014,4308.35,3847.76,0.89
Uttar Pradesh,District_13,Rice,Kharif,2024,1102.4,3794.86,3.44
Telangana,District_47,Oilseeds,Zaid,2011,3379.66,1000.11,0.3
Punjab,District_3,Rice,Kharif,2023,3941.29,12872.51,3.27
Maharashtra,District_20,Maize,Kharif,2023,1052.34,3373.47,3.21
Karnataka,District_31,Oilseeds,Zaid,2022,4100.52,4743.43,1.16
Telangana,District_5,Maize,Rabi,2010,4792.03,15050.99,3.14
Tamil Nadu,District_24,Wheat,Rabi,2015,3099.59,1243.88,0.4
Madhya Pradesh,District_40,Oilseeds,Rabi,2024,3935.01,4134.63,1.05
Punjab,District_33,Maize,Rabi,2016,2686.29,3072.04,1.14
Telangana,District_8,Cotton,Rabi,2020,3010.61,196.5,0.07
Andhra Pradesh,District_24,Cotton,Kharif,2020,116.09,10832.91,93.31
Andhra Pradesh,District_50,Pulses,Zaid,2018,2645.22,3881.68,1.47
Uttar Pradesh,District_20,Cotton,Rabi,2017,2899.04,12694.84,4.38
Madhya Pradesh,District_16,Oilseeds,Zaid,2019,3366.74,10085.41,3.0
Karnataka,District_50,Cotton,Rabi,2012,888.48,13390.77,15.07
Maharashtra,District_12,Cotton,Kharif,2018,1244.8,19633.13,15.77
Karnataka,District_13,Wheat,Rabi,2010,3792.22,4475.49,1.18
Karnataka,District_45,Pulses,Rabi,2022,879.81,13350.96,15.17
Karnataka,District_42,Rice,Zaid,2015,2109.33,16688.86,7.91
Madhya Pradesh,District_39,Pulses,Zaid,2022,1289.93,19151.99,14.85
Karnataka,District_25,Pulses,Kharif,2023,2748.66,12484.45,4.54
Tamil Nadu,District_46,Pulses,Zaid,2019,4935.01,2703.6,0.55
Madhya Pradesh,District_32,Maize,Zaid,2011,4267.59,1171.57,0.27
Tamil Nadu,District_24,Rice,Zaid,2019,1383.9,5642.41,4.08
Madhya Pradesh,District_48,Maize,Kharif,2018,1874.63,18570.33,9.91
Uttar Pradesh,District_47,Wheat,Kharif,2018,4597.24,10784.94,2.35
Telangana,District_44,Wheat,Kharif,2017,4496.56,11628.18,2.59
Andhra Pradesh,District_9,Sugarcane,Zaid,2022,844.61,12250.99,14.5
Karnataka,District_40,Sugarcane,Zaid,2020,4154.89,6711.08,1.62
Uttar Pradesh,District_50,Wheat,Kharif,2016,1523.16,3713.66,2.44
Telangana,District_23,Wheat,Zaid,2023,2741.83,19089.41,6.96
Andhra Pradesh,District_50,Maize,Zaid,2015,75.24,15132.16,201.12
Punjab,District_13,Wheat,Rabi,2011,4993.02,10269.9,2.06
Maharashtra,District_32,Oilseeds,Kharif,2023,3817.43,7596.43,1.99
Tamil Nadu,District_50,Rice,Kharif,2013,1246.58,9707.17,7.79
Punjab,District_15,Maize,Zaid,2019,3434.78,769.94,0.22
Madhya Pradesh,District_36,Wheat,Zaid,2016,1501.87,5025.12,3.35
Andhra Pradesh,District_49,Maize,Rabi,2023,492.81,5089.05,10.33
Punjab,District_5,Maize,Kharif,2022,2155.28,8962.41,4.16
Maharashtra,District_22,Cotton,Kharif,2015,3087.91,4801.76,1.56
Uttar Pradesh,District_16,Sugarcane,Zaid,2018,494.4,3790.6,7.67
Andhra Pradesh,District_41,Maize,Kharif,2022,2616.11,15334.0,5.86
Punjab,District_10,Pulses,Zaid,2022,2598.58,17880.76,6.88
Tamil Nadu,District_24,Oilseeds,Rabi,2014,3161.79,1436.09,0.45
Tamil Nadu,District_18,Oilseeds,Zaid,2021,1261.0,4272.11,3.39
Telangana,District_49,Maize,Rabi,2021,152.18,15496.37,101.83
Punjab,District_18,Pulses,Zaid,2015,1658.04,16335.11,9.85
Karnataka,District_7,Oilseeds,Rabi,2019,2022.98,10053.19,4.97
Punjab,District_4,Cotton,Rabi,2015,3196.92,13928.17,4.36
Uttar Pradesh,District_26,Wheat,Kharif,2023,4654.35,1644.25,0.35
Andhra Pradesh,District_5,Maize,Zaid,2017,1056.76,17005.62,16.09
Andhra Pradesh,District_16,Cotton,Kharif,2017,3452.3,16671.3,4.83
Uttar Pradesh,District_35,Rice,Kharif,2015,532.13,13898.7,26.12
Punjab,District_26,Cotton,Zaid,2017,993.58,18334.91,18.45
Uttar Pradesh,District_18,Sugarcane,Kharif,2016,2570.22,1047.92,0.41
Maharashtra,District_29,Sugarcane,Kharif,2010,3556.47,4696.17,1.32
Madhya Pradesh,District_23,Wheat,Kharif,2014,4299.91,7314.65,1.7
Uttar Pradesh,District_14,Pulses,Zaid,2020,3732.32,3255.92,0.87
Tamil Nadu,District_15,Wheat,Kharif,2024,126.0,16315.07,129.48
Uttar Pradesh,District_49,Oilseeds,Kharif,2019,3435.46,15168.15,4.42
Andhra Pradesh,District_33,Pulses,Kharif,2019,4132.06,15487.72,3.75
Tamil Nadu,District_25,Pulses,Zaid,2022,2651.39,5896.74,2.22
Andhra Pradesh,District_21,Pulses,Rabi,2019,4829.71,15277.46,3.16
Telangana,District_17,Pulses,Rabi,2014,71.35,2548.84,35.72
Karnataka,District_23,Sugarcane,Rabi,2019,4102.36,2225.33,0.54
Andhra Pradesh,District_43,Oilseeds,Rabi,2023,1707.36,11722.74,6.87
Tamil Nadu,District_17,Sugarcane,Kharif,2018,3269.73,1068.51,0.33
Telangana,District_14,Maize,Zaid,2016,3482.74,18779.15,5.39
Andhra Pradesh,District_29,Oilseeds,Kharif,2016,1565.93,6644.04,4.24
Maharashtra,District_20,Sugarcane,Zaid,2019,4977.35,9592.95,1.93
Uttar Pradesh,District_30,Wheat,Kharif,2024,561.09,16283.26,29.02
Karnataka,District_19,Sugarcane,Rabi,2011,827.29,8061.05,9.74
Andhra Pradesh,District_39,Oilseeds,Rabi,2017,4466.35,8669.84,1.94
Telangana,District_13,Oilseeds,Zaid,2012,639.94,7024.09,10.98
Maharashtra,District_18,Wheat,Kharif,2024,1937.37,7099.3,3.66
Punjab,District_23,Rice,Rabi,2018,3679.05,9412.31,2.56
Telangana,District_46,Oilseeds,Zaid,2024,3967.88,18923.98,4.77
Uttar Pradesh,District_33,Sugarcane,Kharif,2015,4775.61,18726.76,3.92
Telangana,District_39,Wheat,Zaid,2018,3958.39,10948.72,2.77
Maharashtra,District_40,Pulses,Kharif,2024,4230.44,9173.6,2.17
Telangana,District_18,Oilseeds,Kharif,2018,4749.41,16182.41,3.41
Maharashtra,District_9,Cotton,Kharif,2016,2790.75,13650.49,4.89
Andhra Pradesh,District_33,Pulses,Zaid,2019,1750.0,17643.11,10.08
Madhya Pradesh,District_32,Maize,Zaid,2021,3819.99,14639.18,3.83
Maharashtra,District_17,Oilseeds,Kharif,2017,859.53,19051.65,22.17
Maharashtra,District_19,Wheat,Rabi,2011,387.75,17736.29,45.74
Karnataka,District_27,Pulses,Kharif,2014,3937.39,17119.46,4.35
Maharashtra,District_6,Sugarcane,Zaid,2024,4755.82,7891.81,1.66
Maharashtra,District_35,Sugarcane,Kharif,2012,2240.11,7785.63,3.48
Punjab,District_37,Oilseeds,Zaid,2010,847.61,14849.94,17.52
Madhya Pradesh,District_34,Rice,Kharif,2022,2510.25,1766.61,0.7
Andhra Pradesh,District_20,Cotton,Kharif,2015,1996.92,6512.07,3.26
Uttar Pradesh,District_25,Oilseeds,Rabi,2022,1893.75,18651.25,9.85
Karnataka,District_4,Wheat,Rabi,2021,3159.0,9057.01,2.87
Punjab,District_10,Pulses,Zaid,2024,914.94,5470.98,5.98
Tamil Nadu,District_10,Cotton,Kharif,2018,1933.38,9581.4,4.96
Madhya Pradesh,District_24,Rice,Zaid,2011,4349.95,5842.93,1.34
Andhra Pradesh,District_21,Oilseeds,Kharif,2018,3661.84,15388.39,4.2
Andhra Pradesh,District_11,Maize,Kharif,2017,325.16,17027.04,52.37
Tamil Nadu,District_27,Cotton,Kharif,2020,2593.82,15674.9,6.04
Uttar Pradesh,District_16,Rice,Rabi,2018,501.91,3066.04,6.11
Maharashtra,District_26,Oilseeds,Zaid,2014,4789.61,6787.54,1.42
Punjab,District_30,Oilseeds,Kharif,2022,1260.97,4358.02,3.46
Telangana,District_49,Wheat,Kharif,2011,4666.47,951.7,0.2
Karnataka,District_16,Oilseeds,Zaid,2019,4178.34,14809.59,3.54
Telangana,District_7,Maize,Zaid,2019,2779.25,8624.36,3.1
Tamil Nadu,District_16,Oilseeds,Kharif,2015,1714.71,5604.8,3.27
Andhra Pradesh,District_35,Sugarcane,Rabi,2016,4296.84,6219.8,1.45
Uttar Pradesh,District_16,Rice,Rabi,2012,806.28,2786.83,3.46
Andhra Pradesh,District_40,Sugarcane,Kharif,2023,940.87,16552.54,17.59
Karnataka,District_12,Oilseeds,Rabi,2015,1162.38,2964.1,2.55
Andhra Pradesh,District_35,Maize,Zaid,2015,3008.6,6832.49,2.27
Andhra Pradesh,District_49,Rice,Rabi,2017,1605.91,247.02,0.15
Karnataka,District_21,Rice,Zaid,2010,4946.45,8784.59,1.78
Punjab,District_50,Oilseeds,Zaid,2013,1015.81,7160.53,7.05
Punjab,District_43,Maize,Zaid,2024,4037.77,14410.13,3.57
Karnataka,District_36,Wheat,Zaid,2010,524.39,14334.74,27.34
Uttar Pradesh,District_48,Rice,Rabi,2017,1799.56,868.76,0.48
Tamil Nadu,District_17,Maize,Zaid,2011,1256.62,2405.69,1.91
Madhya Pradesh,District_32,Cotton,Kharif,2017,4885.34,18102.06,3.71
Andhra Pradesh,District_41,Sugarcane,Zaid,2012,177.37,15856.79,89.4
Uttar Pradesh,District_6,Rice,Kharif,2017,3622.26,7850.75,2.17
Andhra Pradesh,District_24,Cotton,Zaid,2015,1276.22,3410.85,2.67
Madhya Pradesh,District_27,Rice,Zaid,2010,4065.68,5289.55,1.3
Tamil Nadu,District_20,Wheat,Rabi,2016,1590.56,13194.73,8.3
Punjab,District_25,Oilseeds,Zaid,2022,977.06,18915.31,19.36
Uttar Pradesh,District_2,Maize,Zaid,2016,3480.55,12353.19,3.55
Maharashtra,District_9,Rice,Rabi,2015,1325.0,626.27,0.47
Maharashtra,District_28,Maize,Rabi,2024,2453.46,13049.29,5.32
Madhya Pradesh,District_38,Pulses,Kharif,2010,701.09,18900.56,26.96
Maharashtra,District_3,Rice,Rabi,2014,3636.76,7236.96,1.99
Punjab,District_20,Wheat,Kharif,2010,2063.84,18677.76,9.05
Madhya Pradesh,District_6,Wheat,Zaid,2010,745.87,13445.33,18.03
Punjab,District_39,Oilseeds,Kharif,2015,3720.9,3877.73,1.04
Tamil Nadu,District_33,Oilseeds,Rabi,2017,561.64,2991.58,5.33
Andhra Pradesh,District_1,Cotton,Zaid,2010,2895.36,3608.36,1.25
Tamil Nadu,District_37,Wheat,Kharif,2011,3057.05,14014.57,4.58
Tamil Nadu,District_6,Maize,Kharif,2024,4655.23,11831.47,2.54
Punjab,District_45,Pulses,Kharif,2014,797.35,9165.32,11.49
Madhya Pradesh,District_34,Wheat,Zaid,2017,3284.06,5340.76,1.63
Madhya Pradesh,District_47,Rice,Kharif,2020,1934.8,18153.9,9.38
Maharashtra,District_15,Wheat,Kharif,2013,2034.03,4353.5,2.14
Telangana,District_45,Pulses,Rabi,2024,2534.03,5743.76,2.27
Andhra Pradesh,District_26,Maize,Kharif,2023,1207.23,1192.87,0.99
Punjab,District_14,Rice,Zaid,2014,2332.86,5578.97,2.39
Maharashtra,District_7,Cotton,Rabi,2019,3449.89,18465.66,5.35
Uttar Pradesh,District_46,Cotton,Zaid,2014,2312.71,3833.32,1.66
Telangana,District_31,Cotton,Rabi,2012,260.42,4158.86,15.97
Telangana,District_24,Oilseeds,Rabi,2015,1326.24,12039.55,9.08
Punjab,District_31,Rice,Kharif,2014,1789.73,11382.37,6.36
Karnataka,District_29,Cotton,Zaid,2024,1805.87,3601.58,1.99
Andhra Pradesh,District_42,Oilseeds,Kharif,2011,450.98,3169.87,7.03
Telangana,District_32,Wheat,Rabi,2023,2275.37,2427.84,1.07
Punjab,District_17,Rice,Kharif,2019,3475.15,17235.6,4.96
Punjab,District_14,Rice,Rabi,2023,290.93,13123.26,45.11
Maharashtra,District_40,Rice,Rabi,2013,3767.07,19073.57,5.06
Uttar Pradesh,District_36,Sugarcane,Zaid,2020,4777.77,3400.09,0.71
Karnataka,District_48,Oilseeds,Zaid,2013,96.22,9266.01,96.3
Andhra Pradesh,District_24,Maize,Zaid,2016,1008.78,14886.62,14.76
Madhya Pradesh,District_45,Sugarcane,Zaid,2024,2740.26,4349.61,1.59
Tamil Nadu,District_27,Sugarcane,Kharif,2016,1129.34,13725.07,12.15
Uttar Pradesh,District_25,Sugarcane,Zaid,2018,3834.9,9528.69,2.48
Uttar Pradesh,District_32,Maize,Zaid,2024,1595.06,8673.49,5.44
Maharashtra,District_18,Sugarcane,Zaid,2019,1503.45,12935.45,8.6
Madhya Pradesh,District_46,Cotton,Rabi,2021,54.57,9407.12,172.39
Telangana,District_18,Rice,Rabi,2011,1387.12,16418.26,11.84
Telangana,District_37,Rice,Zaid,2015,1127.47,18617.38,16.51
Maharashtra,District_26,Oilseeds,Rabi,2011,1749.04,11818.29,6.76
Punjab,District_9,Wheat,Rabi,2018,780.9,6081.83,7.79
Telangana,District_35,Pulses,Kharif,2011,2993.51,15566.72,5.2
Karnataka,District_8,Cotton,Rabi,2015,1231.77,3492.75,2.84
Andhra Pradesh,District_20,Maize,Kharif,2017,4167.17,1990.32,0.48
Uttar Pradesh,District_42,Pulses,Rabi,2015,1458.56,10422.76,7.15
Uttar Pradesh,District_22,Rice,Zaid,2021,1093.8,12970.04,11.86
Karnataka,District_19,Sugarcane,Rabi,2024,330.92,16716.46,50.52
Madhya Pradesh,District_30,Oilseeds,Rabi,2012,3712.54,19108.73,5.15
Telangana,District_28,Oilseeds,Kharif,2014,2565.63,17479.43,6.81
Uttar Pradesh,District_35,Wheat,Zaid,2013,613.23,19775.12,32.25
Tamil Nadu,District_43,Wheat,Kharif,2010,1145.61,9566.43,8.35
Madhya Pradesh,District_11,Rice,Zaid,2014,4993.66,6399.1,1.28
Andhra Pradesh,District_31,Cotton,Zaid,2019,4039.84,9248.15,2.29
Andhra Pradesh,District_49,Oilseeds,Kharif,2021,1781.85,12918.2,7.25
Uttar Pradesh,District_48,Pulses,Rabi,2014,2735.65,10194.41,3.73
Maharashtra,District_39,Wheat,Zaid,2016,2109.28,12718.98,6.03
Madhya Pradesh,District_36,Rice,Rabi,2024,230.13,17745.78,77.11
Uttar Pradesh,District_30,Cotton,Kharif,2021,3904.45,3399.66,0.87
Maharashtra,District_23,Rice,Kharif,2016,3599.08,2493.25,0.69
Uttar Pradesh,District_19,Rice,Kharif,2011,2073.57,10020.52,4.83
Tamil Nadu,District_12,Cotton,Kharif,2023,4237.19,19637.19,4.63
Madhya Pradesh,District_15,Cotton,Zaid,2013,2696.96,1274.97,0.47
Punjab,District_31,Cotton,Kharif,2010,372.78,19732.49,52.93
Andhra Pradesh,District_43,Rice,Rabi,2022,1334.06,19357.36,14.51
Uttar Pradesh,District_37,Wheat,Rabi,2014,2335.78,5922.73,2.54
Tamil Nadu,District_37,Maize,Zaid,2014,562.07,17830.98,31.72
Maharashtra,District_15,Maize,Kharif,2013,2876.85,254.4,0.09
Maharashtra,District_29,Rice,Zaid,2019,646.81,9135.82,14.12
Andhra Pradesh,District_50,Rice,Zaid,2021,1042.52,8102.26,7.77
Karnataka,District_43,Wheat,Zaid,2021,4475.22,18062.89,4.04
Uttar Pradesh,District_26,Cotton,Kharif,2016,4999.07,9498.69,1.9
Madhya Pradesh,District_44,Rice,Rabi,2015,2773.75,8416.98,3.03
Telangana,District_2,Oilseeds,Rabi,2022,3117.26,12827.93,4.12
Maharashtra,District_20,Sugarcane,Zaid,2019,3997.28,7578.4,1.9
Madhya Pradesh,District_15,Cotton,Zaid,2012,3495.89,10777.54,3.08
Madhya Pradesh,District_4,Oilseeds,Rabi,2011,953.21,19115.77,20.05
Punjab,District_22,Rice,Rabi,2024,2087.77,4132.08,1.98
Madhya Pradesh,District_50,Sugarcane,Kharif,2013,2698.83,9232.36,3.42
Madhya Pradesh,District_38,Oilseeds,Zaid,2018,1830.57,406.01,0.22
Punjab,District_23,Pulses,Kharif,2019,921.73,16860.52,18.29
Maharashtra,District_26,Wheat,Rabi,2014,3693.76,1931.15,0.52
Madhya Pradesh,District_11,Sugarcane,Rabi,2010,1034.29,1985.77,1.92
Karnataka,District_28,Rice,Rabi,2020,1339.41,17668.5,13.19
Karnataka,District_2,Maize,Rabi,2012,1468.27,8244.99,5.62
Tamil Nadu,District_8,Oilseeds,Kharif,2018,850.81,13777.18,16.19
Punjab,District_29,Rice,Rabi,2016,4255.28,17171.14,4.04
Tamil Nadu,District_11,Maize,Zaid,2012,3072.55,7552.1,2.46
Punjab,District_37,Wheat,Rabi,2010,4182.0,5304.79,1.27
Uttar Pradesh,District_18,Wheat,Zaid,2013,2493.96,3473.41,1.39
Uttar Pradesh,District_50,Cotton,Rabi,2018,2621.84,12181.68,4.65
Madhya Pradesh,District_14,Oilseeds,Kharif,2021,3099.92,5120.22,1.65
Telangana,District_10,Cotton,Zaid,2016,1886.05,12722.33,6.75
