state,district,soil_type,ph_level,nitrogen,phosphorus,potassium
Uttar Pradesh,District_24,Alluvial,7.21,239.98,235.9,258.03
Karnataka,District_15,Black,7.5,268.34,156.34,359.79
Andhra Pradesh,District_50,Alluvial,6.55,150.68,201.98,355.1
Andhra Pradesh,District_9,Black,8.13,365.83,171.29,247.86
Uttar Pradesh,District_46,Alluvial,8.48,252.55,294.97,395.08
Telangana,District_8,Red,6.73,316.88,225.01,308.66
Madhya Pradesh,District_33,Black,5.94,135.88,105.2,174.27
Telangana,District_26,Red,8.15,377.56,247.47,76.87
Punjab,District_17,Red,7.08,360.27,220.3,76.13
Tamil Nadu,District_31,Alluvial,7.72,272.54,180.23,213.64
Tamil Nadu,District_11,Laterite,6.57,285.85,288.69,71.65
Tamil Nadu,District_26,Black,5.84,210.97,169.17,128.45
Madhya Pradesh,District_4,Black,8.08,219.09,187.95,107.51
Telangana,District_8,Red,6.95,476.78,240.99,227.34
Telangana,District_24,Black,5.83,104.53,256.53,325.85
Telangana,District_23,Laterite,6.06,320.71,210.91,86.99
Andhra Pradesh,District_14,Laterite,7.72,223.92,239.73,132.1
Madhya Pradesh,District_39,Red,8.13,241.33,245.77,102.75
Tamil Nadu,District_43,Alluvial,6.33,311.01,263.66,148.04
Punjab,District_19,Laterite,6.34,258.07,226.59,332.04
Uttar Pradesh,District_2,Red,5.81,159.61,196.04,368.28
Andhra Pradesh,District_4,Alluvial,6.76,189.6,122.7,268.6
Tamil Nadu,District_44,Red,8.17,113.03,123.88,353.31
Karnataka,District_49,Alluvial,5.99,251.12,97.8,199.01
Uttar Pradesh,District_11,Red,7.84,458.02,123.98,169.53
Madhya Pradesh,District_32,Black,6.16,296.43,248.89,201.26
Andhra Pradesh,District_19,Black,6.11,318.96,226.05,91.73
Madhya Pradesh,District_25,Red,5.54,277.8,120.35,393.34
Tamil Nadu,District_50,Laterite,7.51,454.96,129.68,368.07
Maharashtra,District_50,Alluvial,6.66,271.86,295.07,122.66
Karnataka,District_33,Black,8.42,401.62,130.29,348.59
Uttar Pradesh,District_13,Laterite,5.65,400.53,101.69,147.22
Andhra Pradesh,District_41,Alluvial,5.7,299.26,147.26,187.92
Andhra Pradesh,District_3,Red,6.35,361.89,229.48,173.94
Maharashtra,District_15,Laterite,7.11,274.51,137.59,288.02
Madhya Pradesh,District_30,Alluvial,7.75,399.76,258.0,91.72
Uttar Pradesh,District_36,Black,6.41,444.74,152.49,273.43
Uttar Pradesh,District_11,Alluvial,6.5,456.04,298.08,316.9
Telangana,District_4,Red,7.66,139.52,87.65,219.98
Uttar Pradesh,District_42,Alluvial,6.61,233.48,52.77,262.63
Maharashtra,District_43,Black,7.46,217.96,140.67,290.15
Telangana,District_28,Alluvial,6.44,438.39,112.88,342.33
Punjab,District_39,Alluvial,8.47,356.44,147.41,395.79
Uttar Pradesh,District_49,Alluvial,8.25,259.85,81.71,372.15
Andhra Pradesh,District_30,Laterite,7.26,242.28,227.81,126.14
Telangana,District_48,Alluvial,8.38,105.12,265.65,89.82
Maharashtra,District_2,Red,7.19,454.69,210.6,347.22
Tamil Nadu,District_48,Black,8.05,418.63,182.97,300.29
Karnataka,District_14,Alluvial,8.36,281.37,236.68,102.3
Andhra Pradesh,District_19,Alluvial,8.43,116.45,56.23,116.17
Karnataka,District_31,Laterite,8.42,456.97,240.51,167.97
Uttar Pradesh,District_33,Black,8.12,216.6,182.5,233.65
Maharashtra,District_10,Red,6.68,243.43,199.09,394.89
Punjab,District_4,Black,8.48,456.72,281.75,163.19
Karnataka,District_40,Laterite,7.84,326.61,248.33,112.2
Tamil Nadu,District_36,Alluvial,8.05,288.98,279.05,140.9
Tamil Nadu,District_29,Red,7.9,279.38,190.52,291.42
Tamil Nadu,District_42,Laterite,7.22,313.98,172.45,168.07
Maharashtra,District_49,Red,7.12,152.63,117.06,371.5
Madhya Pradesh,District_13,Black,6.74,206.55,216.93,212.99
Uttar Pradesh,District_16,Black,5.88,107.85,124.5,103.57
Uttar Pradesh,District_46,Alluvial,7.39,467.59,89.83,78.96
Tamil Nadu,District_31,Laterite,6.46,457.74,215.71,228.15
Punjab,District_38,Alluvial,6.08,348.19,184.83,350.52
Andhra Pradesh,District_33,Red,6.29,261.26,131.6,256.59
Uttar Pradesh,District_49,Red,6.66,334.88,178.4,249.74
Tamil Nadu,District_11,Red,5.52,275.14,98.6,272.93
Maharashtra,District_26,Black,6.55,445.67,190.63,382.09
Tamil Nadu,District_4,Laterite,7.41,330.03,220.19,345.45
Karnataka,District_34,Black,6.1,411.84,168.1,297.82
Tamil Nadu,District_38,Alluvial,6.14,156.64,89.72,362.09
Maharashtra,District_47,Red,5.97,470.51,235.21,266.47
Karnataka,District_37,Laterite,6.22,145.61,286.03,239.93
Telangana,District_8,Red,5.58,400.81,167.25,56.87
Madhya Pradesh,District_43,Alluvial,8.44,272.76,294.41,217.26
Andhra Pradesh,District_50,Red,5.71,368.89,65.33,64.77
Madhya Pradesh,District_39,Black,7.68,454.75,296.95,325.04
Tamil Nadu,District_30,Red,6.31,298.86,211.05,56.75
Uttar Pradesh,District_20,Black,6.99,473.97,288.07,64.2
Uttar Pradesh,District_16,Black,6.5,195.73,95.47,62.94
Maharashtra,District_15,Alluvial,8.41,454.13,169.34,192.4
Andhra Pradesh,District_4,Black,6.58,266.26,294.33,269.85
Punjab,District_36,Laterite,6.84,294.5,147.57,369.34
Uttar Pradesh,District_27,Black,8.47,272.29,220.64,209.57
Uttar Pradesh,District_36,Red,5.8,171.68,97.55,336.15
Karnataka,District_34,Black,6.39,374.67,264.07,231.67
Maharashtra,District_19,Laterite,6.66,315.09,115.92,119.15
Tamil Nadu,District_40,Black,6.85,423.15,88.62,362.07
Madhya Pradesh,District_46,Alluvial,8.37,466.56,187.68,318.96
Madhya Pradesh,District_48,Alluvial,6.65,201.09,111.77,264.79
Tamil Nadu,District_21,Laterite,6.34,388.55,241.36,366.99
Telangana,District_42,Red,6.44,208.15,259.68,316.03
Punjab,District_21,Red,5.88,379.94,179.79,104.85
Punjab,District_25,Alluvial,5.92,231.33,55.3,96.8
Punjab,District_17,Laterite,6.23,429.59,147.44,191.96
Andhra Pradesh,District_18,Red,6.02,420.68,57.31,112.85
Tamil Nadu,District_40,Red,6.51,180.18,274.82,180.11
Punjab,District_43,Black,5.92,469.83,118.41,111.5
Karnataka,District_27,Red,7.2,273.75,293.55,369.24
Karnataka,District_4,Red,8.35,287.95,124.29,157.17
Uttar Pradesh,District_31,Alluvial,6.99,204.67,159.08,352.7
Punjab,District_19,Black,6.84,239.76,52.22,165.78
Karnataka,District_17,Red,6.06,291.3,289.92,69.34
Madhya Pradesh,District_34,Alluvial,6.17,164.39,174.41,310.08
Karnataka,District_35,Red,7.37,331.2,81.64,275.07
Andhra Pradesh,District_17,Alluvial,5.85,325.97,256.26,345.67
Madhya Pradesh,District_20,Black,6.03,304.66,120.01,356.86
Madhya Pradesh,District_16,Red,7.26,221.19,52.46,324.97
Telangana,District_5,Laterite,7.71,120.51,218.55,346.38
Telangana,District_34,Alluvial,8.33,438.48,114.49,178.31
Maharashtra,District_39,Black,6.03,281.36,289.4,158.51
Punjab,District_7,Red,7.65,383.59,93.57,200.73
Andhra Pradesh,District_9,Laterite,6.23,130.62,120.15,365.32
Maharashtra,District_14,Alluvial,5.98,159.31,192.24,319.77
Tamil Nadu,District_16,Red,7.96,408.56,284.19,265.0
Maharashtra,District_44,Black,6.39,368.83,135.35,168.8
Karnataka,District_24,Black,6.5,380.96,167.72,313.78
Punjab,District_50,Red,6.69,109.89,73.81,109.64
Uttar Pradesh,District_8,Alluvial,5.64,252.71,74.41,256.37
Telangana,District_47,Black,8.13,225.37,258.88,293.8
Uttar Pradesh,District_26,Black,8.41,420.03,113.94,62.17
Telangana,District_17,Laterite,6.12,256.34,223.34,248.13
Madhya Pradesh,District_26,Alluvial,5.73,102.88,87.83,394.28
Uttar Pradesh,District_44,Alluvial,6.97,262.63,126.64,187.55
Telangana,District_43,Laterite,7.48,213.56,205.95,324.57
Andhra Pradesh,District_44,Red,6.98,405.77,65.45,298.88
Karnataka,District_42,Black,7.46,371.16,132.91,73.96
Maharashtra,District_3,Alluvial,8.35,379.45,128.36,54.53
Uttar Pradesh,District_7,Black,6.49,442.38,77.19,321.75
Tamil Nadu,District_5,Laterite,8.16,482.42,140.92,115.31
Andhra Pradesh,District_20,Alluvial,7.13,492.7,216.26,165.39
Uttar Pradesh,District_38,Laterite,7.64,492.62,249.94,244.07
Tamil Nadu,District_40,Laterite,8.0,449.73,129.91,234.57
Andhra Pradesh,District_5,Black,6.3,336.39,203.53,104.29
Karnataka,District_25,Red,6.57,199.37,69.6,73.62
Andhra Pradesh,District_9,Alluvial,5.62,104.38,212.47,281.8
Madhya Pradesh,District_45,Black,7.84,240.94,176.08,349.69
Tamil Nadu,District_14,Red,5.71,429.62,195.26,394.75
Andhra Pradesh,District_11,Red,6.76,382.21,222.15,243.34
Madhya Pradesh,District_18,Laterite,7.96,156.22,249.35,248.86
Karnataka,District_46,Black,5.81,100.28,56.68,312.48
Telangana,District_21,Red,8.48,205.17,66.82,136.25
Andhra Pradesh,District_6,Red,7.19,407.75,234.32,318.12
Tamil Nadu,District_3,Laterite,5.87,366.21,201.77,102.53
Punjab,District_10,Black,5.54,363.36,134.2,256.82
Tamil Nadu,District_21,Alluvial,6.51,378.81,235.7,392.65
Andhra Pradesh,District_9,Alluvial,6.16,208.58,185.71,183.59
Uttar Pradesh,District_41,Alluvial,6.89,336.49,185.35,193.75
Uttar Pradesh,District_18,Red,6.9,491.75,214.43,333.66
Madhya Pradesh,District_34,Red,5.97,212.02,260.04,241.74
Karnataka,District_50,Laterite,7.48,446.32,116.69,362.68
Maharashtra,District_14,Laterite,6.74,462.4,298.32,131.56
Telangana,District_3,Red,7.4,259.05,141.81,313.4
Karnataka,District_37,Laterite,8.09,129.84,191.36,373.68
Maharashtra,District_28,Black,6.01,497.21,260.44,214.94
Tamil Nadu,District_42,Alluvial,6.8,137.66,167.84,278.7
Uttar Pradesh,District_14,Alluvial,8.02,431.06,91.42,245.6
Andhra Pradesh,District_23,Laterite,7.67,238.96,299.93,259.18
Tamil Nadu,District_12,Black,6.42,343.81,256.54,278.39
Andhra Pradesh,District_17,Laterite,7.77,220.29,83.6,133.78
Punjab,District_36,Alluvial,6.65,249.96,209.08,145.1
Telangana,District_39,Black,8.41,213.39,124.44,167.84
Andhra Pradesh,District_45,Black,6.26,182.12,194.75,115.16
Tamil Nadu,District_35,Alluvial,6.03,244.83,83.48,349.34
Punjab,District_10,Laterite,8.14,446.18,238.42,157.9
Maharashtra,District_43,Laterite,6.99,132.63,237.27,251.43
Uttar Pradesh,District_14,Laterite,7.73,104.46,104.35,95.13
Maharashtra,District_25,Laterite,8.35,194.4,146.74,240.91
Maharashtra,District_19,Alluvial,6.09,438.72,178.44,234.33
Madhya Pradesh,District_21,Alluvial,5.8,472.11,219.81,224.53
Andhra Pradesh,District_41,Red,6.15,425.15,138.25,254.92
Karnataka,District_30,Red,5.84,115.13,61.26,80.13
Uttar Pradesh,District_39,Laterite,8.39,178.17,118.46,394.82
Madhya Pradesh,District_12,Laterite,7.64,231.82,183.88,366.59
Tamil Nadu,District_40,Alluvial,7.47,373.39,150.7,118.11
Tamil Nadu,District_10,Alluvial,8.35,230.91,296.02,277.76
Karnataka,District_13,Laterite,8.44,297.77,143.56,288.11
Punjab,District_3,Red,8.24,116.31,257.24,86.68
Maharashtra,District_35,Laterite,7.48,114.78,54.77,82.15
Maharashtra,District_42,Black,6.99,392.85,162.33,227.35
Punjab,District_34,Laterite,5.63,142.03,158.02,358.26
Punjab,District_1,Alluvial,8.13,210.25,278.22,60.33
Tamil Nadu,District_3,Alluvial,5.8,101.91,118.69,153.52
Uttar Pradesh,District_46,Alluvial,5.76,319.53,163.78,362.18
Andhra Pradesh,District_26,Alluvial,7.47,317.34,213.35,163.23
Uttar Pradesh,District_30,Black,7.99,278.52,233.22,103.97
Uttar Pradesh,District_46,Alluvial,7.56,414.74,293.76,177.16
Andhra Pradesh,District_4,Alluvial,6.59,253.52,295.47,368.39
Telangana,District_37,Red,7.99,199.21,189.2,155.01
Maharashtra,District_8,Red,5.52,233.86,220.26,188.16
Uttar Pradesh,District_47,Black,5.99,376.3,74.33,139.7
Punjab,District_46,Red,7.0,479.02,264.47,137.71
Madhya Pradesh,District_39,Alluvial,8.13,381.91,135.64,188.48
Punjab,District_37,Red,5.81,496.65,189.36,120.57
Tamil Nadu,District_31,Laterite,7.01,342.61,274.75,266.37
Andhra Pradesh,District_30,Laterite,6.12,478.88,82.89,157.41
Telangana,District_26,Laterite,6.15,156.65,264.47,266.25
Karnataka,District_16,Alluvial,8.02,195.2,89.47,267.55
Andhra Pradesh,District_22,Alluvial,6.0,364.28,127.72,363.64
Andhra Pradesh,District_32,Laterite,5.7,295.61,216.27,248.69
Tamil Nadu,District_46,Alluvial,5.76,245.43,233.88,344.44
Uttar Pradesh,District_43,Alluvial,6.55,241.99,237.34,300.91
Maharashtra,District_13,Black,7.12,220.5,278.42,107.12
Punjab,District_25,Alluvial,5.53,424.38,122.69,88.26
Tamil Nadu,District_14,Alluvial,8.48,241.92,242.22,357.36
Karnataka,District_1,Red,8.32,130.78,298.14,69.91
Uttar Pradesh,District_17,Black,6.9,160.46,68.42,136.54
Maharashtra,District_40,Black,5.94,297.66,100.01,284.66
Tamil Nadu,District_16,Black,5.98,151.03,278.6,271.83
Andhra Pradesh,District_21,Laterite,6.67,432.99,114.71,364.33
Tamil Nadu,District_39,Laterite,8.24,465.93,286.55,140.98
Maharashtra,District_50,Black,6.74,126.44,181.03,142.44
Telangana,District_45,Laterite,6.66,448.56,185.08,176.0
Uttar Pradesh,District_27,Alluvial,8.25,374.57,76.23,396.56
Telangana,District_7,Red,8.48,230.18,96.63,73.94
Karnataka,District_28,Alluvial,6.65,200.93,268.48,172.42
Uttar Pradesh,District_31,Red,8.39,262.22,230.54,87.77
Madhya Pradesh,District_42,Black,5.89,339.84,82.0,323.28
Madhya Pradesh,District_35,Alluvial,6.1,196.22,85.03,138.01
Uttar Pradesh,District_33,Laterite,6.8,452.08,278.61,67.79
Tamil Nadu,District_29,Laterite,6.65,111.11,245.97,222.24
Andhra Pradesh,District_44,Laterite,6.19,128.14,79.84,273.73
Punjab,District_42,Red,6.93,290.86,192.14,342.1
Karnataka,District_39,Alluvial,7.7,237.1,295.81,54.93
Uttar Pradesh,District_24,Black,5.97,224.55,182.04,314.26
Karnataka,District_42,Black,6.59,282.6,73.51,99.37
Karnataka,District_36,Black,5.59,329.39,169.61,318.66
Maharashtra,District_17,Laterite,8.37,159.32,123.53,104.0
Punjab,District_6,Laterite,7.78,439.62,179.21,155.54
Telangana,District_33,Red,6.48,237.48,235.79,68.38
Maharashtra,District_48,Red,6.02,296.88,174.32,181.09
Telangana,District_48,Alluvial,7.09,326.69,83.32,135.82
Madhya Pradesh,District_44,Red,6.17,359.26,240.57,93.76
Tamil Nadu,District_26,Black,7.13,145.11,111.4,151.67
Punjab,District_44,Black,6.72,437.81,53.48,52.82
Maharashtra,District_7,Laterite,7.17,125.68,86.88,357.52
Andhra Pradesh,District_37,Red,7.11,187.59,212.52,206.95
Tamil Nadu,District_16,Red,5.52,139.36,285.75,205.47
Maharashtra,District_2,Alluvial,7.6,405.26,240.01,280.43
Andhra Pradesh,District_48,Red,7.26,385.36,130.74,108.42
Tamil Nadu,District_23,Red,7.32,219.56,153.85,348.88
Tamil Nadu,District_45,Red,6.32,412.8,193.78,83.22
Andhra Pradesh,District_41,Black,8.36,463.62,66.97,194.34
Punjab,District_39,Laterite,6.62,173.8,282.7,311.14
Punjab,District_32,Laterite,6.23,246.98,139.21,196.43
Andhra Pradesh,District_36,Alluvial,5.6,311.66,156.44,174.5
Karnataka,District_29,Laterite,7.29,221.94,64.83,265.13
Madhya Pradesh,District_8,Alluvial,8.0,365.88,88.29,347.61
Uttar Pradesh,District_43,Alluvial,6.07,433.5,121.28,289.4
Maharashtra,District_43,Black,7.54,392.27,112.09,106.4
Punjab,District_15,Black,5.51,477.5,126.34,267.57
Uttar Pradesh,District_14,Black,7.28,255.11,128.86,388.72
Telangana,District_6,Alluvial,5.71,172.93,232.44,232.04
Punjab,District_13,Black,8.19,447.97,65.64,169.03
Andhra Pradesh,District_12,Black,6.36,495.23,154.04,266.82
Telangana,District_27,Laterite,6.97,278.89,81.76,72.22
Punjab,District_34,Alluvial,6.67,176.34,247.38,313.49
Uttar Pradesh,District_11,Laterite,7.24,215.19,297.99,160.31
Karnataka,District_28,Black,6.44,276.51,203.88,71.48
Uttar Pradesh,District_7,Laterite,8.28,156.24,207.72,293.83
Punjab,District_35,Black,6.48,256.44,52.31,103.72
Telangana,District_35,Laterite,7.07,378.63,172.57,98.44
Andhra Pradesh,District_20,Black,6.7,307.98,185.7,144.36
Punjab,District_11,Red,6.19,413.69,290.0,157.85
Maharashtra,District_21,Black,8.47,142.37,65.69,209.5
Telangana,District_2,Black,7.52,435.59,77.5,336.08
Tamil Nadu,District_21,Alluvial,7.04,233.58,144.61,372.26
Punjab,District_27,Black,7.44,241.4,155.85,58.2
Madhya Pradesh,District_42,Alluvial,7.03,337.08,192.46,159.35
Uttar Pradesh,District_22,Red,7.77,388.18,287.93,247.56
Madhya Pradesh,District_25,Alluvial,6.15,161.86,202.42,189.4
Telangana,District_36,Red,8.46,108.1,259.97,347.04
Karnataka,District_31,Alluvial,6.39,210.71,195.37,88.17
Karnataka,District_16,Alluvial,6.7,231.51,169.07,320.83
Andhra Pradesh,District_48,Alluvial,8.41,160.95,274.25,256.99
Maharashtra,District_37,Alluvial,6.27,406.83,56.51,205.94
Madhya Pradesh,District_21,Laterite,6.01,362.31,209.58,261.91
Telangana,District_29,Red,7.38,181.34,252.74,390.53
Punjab,District_1,Laterite,8.39,162.05,111.87,76.49
Madhya Pradesh,District_41,Alluvial,8.48,294.58,64.2,160.58
Andhra Pradesh,District_3,Red,6.22,442.08,76.46,254.23
Maharashtra,District_45,Laterite,6.41,250.3,247.33,276.01
Karnataka,District_26,Red,7.86,351.89,95.1,82.78
Telangana,District_35,Black,5.96,189.31,102.44,112.71
Madhya Pradesh,District_9,Red,6.48,462.05,165.38,80.61
Andhra Pradesh,District_28,Laterite,7.16,426.16,118.56,249.73
Uttar Pradesh,District_9,Black,6.23,432.84,285.79,360.84
Telangana,District_13,Red,5.58,104.31,138.15,380.23
Telangana,District_23,Alluvial,5.56,295.62,75.37,173.56
Tamil Nadu,District_49,Red,8.41,110.53,115.74,146.89
Karnataka,District_41,Laterite,6.96,439.29,99.5,63.31
Punjab,District_44,Alluvial,8.42,168.8,146.24,194.88
Uttar Pradesh,District_38,Black,6.64,389.8,115.93,53.3
Maharashtra,District_3,Black,7.96,199.24,288.26,346.69
Karnataka,District_21,Red,5.92,433.85,276.03,219.9
Andhra Pradesh,District_43,Black,5.67,225.54,225.44,390.83
Punjab,District_31,Laterite,6.55,116.38,277.26,135.54
Uttar Pradesh,District_45,Black,5.62,118.92,211.06,224.33
Karnataka,District_46,Laterite,6.96,443.24,242.93,334.51
Andhra Pradesh,District_47,Alluvial,7.42,457.86,255.51,127.1
Karnataka,District_15,Laterite,5.85,398.4,87.59,195.59
Andhra Pradesh,District_17,Alluvial,6.77,488.55,212.84,352.94
Andhra Pradesh,District_14,Alluvial,8.23,465.67,183.07,289.71
Telangana,District_16,Laterite,7.2,386.84,266.04,277.36
Tamil Nadu,District_42,Red,6.99,104.98,204.57,250.76
Punjab,District_17,Black,7.43,175.22,214.83,234.15
Tamil Nadu,District_26,Alluvial,8.16,187.46,193.36,216.59
Uttar Pradesh,District_48,Alluvial,7.91,211.97,117.77,87.63
Madhya Pradesh,District_14,Red,6.26,208.39,189.85,178.46
Madhya Pradesh,District_45,Alluvial,5.6,176.35,295.28,223.23
Telangana,District_36,Black,6.39,294.33,207.88,388.9
Uttar Pradesh,District_22,Alluvial,8.2,484.39,266.27,166.23
Tamil Nadu,District_3,Laterite,6.82,118.44,178.99,124.93
Punjab,District_3,Red,7.75,167.98,157.88,58.77
Maharashtra,District_15,Black,7.82,245.87,119.91,213.51
Telangana,District_4,Alluvial,7.35,343.82,294.61,125.84
Madhya Pradesh,District_32,Laterite,6.06,153.82,288.19,272.55
Tamil Nadu,District_16,Black,7.06,323.9,267.12,245.92
Punjab,District_30,Black,6.92,153.35,263.14,246.89
Telangana,District_33,Black,7.42,181.58,170.86,208.75
Telangana,District_37,Red,8.01,106.98,210.05,294.49
Telangana,District_8,Black,5.6,484.18,64.27,265.9
Tamil Nadu,District_31,Red,6.48,204.42,58.09,321.32
Punjab,District_30,Alluvial,7.76,344.65,127.31,305.34
Tamil Nadu,District_38,Black,7.97,199.13,202.75,90.3
Punjab,District_3,Red,6.04,470.66,233.12,390.79
Maharashtra,District_20,Red,6.57,118.08,150.45,127.6
Telangana,District_5,Alluvial,7.0,297.66,244.39,312.71
Tamil Nadu,District_46,Laterite,7.24,230.73,260.56,323.38
Maharashtra,District_43,Alluvial,6.69,246.29,134.34,244.85
Karnataka,District_5,Black,7.64,140.4,292.98,88.37
Madhya Pradesh,District_2,Red,6.86,256.82,119.65,106.47
Maharashtra,District_26,Red,6.5,393.4,200.61,380.67
Uttar Pradesh,District_16,Laterite,6.77,373.56,99.29,214.56
Tamil Nadu,District_40,Red,6.01,467.51,217.35,177.59
Karnataka,District_49,Laterite,5.93,123.74,60.76,331.29
Andhra Pradesh,District_32,Alluvial,7.37,461.27,208.54,126.52
Uttar Pradesh,District_2,Black,6.73,280.53,290.82,238.71
Tamil Nadu,District_41,Red,8.33,268.21,138.91,233.29
Maharashtra,District_27,Black,6.52,272.21,252.18,61.5
Karnataka,District_44,Laterite,7.43,377.92,105.05,238.92
Telangana,District_45,Red,7.6,279.17,196.3,221.67
Maharashtra,District_15,Laterite,7.87,491.1,93.24,290.22
Tamil Nadu,District_23,Black,6.6,372.14,264.91,331.54
Maharashtra,District_22,Red,6.96,342.33,74.3,358.19
Uttar Pradesh,District_20,Alluvial,7.85,163.01,246.9,105.18
Telangana,District_1,Red,8.11,195.14,233.33,108.65
Andhra Pradesh,District_35,Alluvial,6.35,372.24,271.32,362.57
Maharashtra,District_29,Laterite,6.23,251.35,170.7,71.65
Tamil Nadu,District_22,Black,6.52,406.73,278.2,290.39
Karnataka,District_29,Red,7.27,271.45,174.58,259.19
Andhra Pradesh,District_22,Alluvial,8.0,448.73,163.07,283.27
Andhra Pradesh,District_11,Black,7.43,338.45,79.49,392.29
Telangana,District_21,Alluvial,6.11,437.73,272.02,164.3
Andhra Pradesh,District_45,Black,5.66,452.37,261.37,292.76
Madhya Pradesh,District_11,Red,7.17,231.66,82.04,361.21
Andhra Pradesh,District_22,Alluvial,7.79,257.22,99.34,344.46
Andhra Pradesh,District_46,Red,7.02,389.61,133.45,247.98
Punjab,District_43,Red,6.6,149.06,101.35,328.81
Tamil Nadu,District_9,Laterite,6.09,157.65,185.98,217.59
Andhra Pradesh,District_7,Red,7.22,428.67,90.76,119.99
Madhya Pradesh,District_4,Black,7.33,105.15,268.51,99.65
Punjab,District_35,Black,8.0,115.03,264.63,154.33
Punjab,District_12,Red,7.72,330.24,169.16,71.97
Maharashtra,District_42,Red,7.05,485.18,188.09,145.92
Andhra Pradesh,District_39,Laterite,7.93,473.1,115.22,150.86
Uttar Pradesh,District_27,Red,5.84,276.41,224.4,260.01
Telangana,District_37,Alluvial,6.22,419.65,203.13,346.35
Andhra Pradesh,District_29,Laterite,7.76,378.6,279.46,267.23
Maharashtra,District_16,Alluvial,6.76,421.45,59.03,353.81
Madhya Pradesh,District_50,Black,7.22,197.08,173.08,181.0
Telangana,District_13,Black,8.09,230.64,202.95,60.65
Tamil Nadu,District_7,Alluvial,8.29,410.76,195.29,68.21
Madhya Pradesh,District_30,Laterite,8.29,209.36,254.57,380.1
Telangana,District_10,Black,6.57,403.16,184.4,118.03
Maharashtra,District_37,Black,7.36,401.09,56.86,150.4
Telangana,District_39,Alluvial,7.36,405.8,297.9,75.61
Karnataka,District_30,Black,6.36,274.6,247.96,388.41
Maharashtra,District_36,Alluvial,6.87,177.07,71.38,377.31
Telangana,District_46,Red,6.75,138.25,287.7,230.11
Andhra Pradesh,District_12,Laterite,7.55,177.61,210.07,200.84
Uttar Pradesh,District_33,Laterite,7.29,296.32,147.99,101.54
Telangana,District_47,Black,8.22,204.42,101.96,340.52
Andhra Pradesh,District_1,Red,6.25,443.48,258.99,213.53
Madhya Pradesh,District_46,Laterite,7.3,393.32,75.17,364.88
Punjab,District_23,Black,7.6,396.26,221.82,226.91
Karnataka,District_43,Red,5.68,218.42,190.44,62.46
Tamil Nadu,District_25,Alluvial,7.41,288.02,265.17,87.45
Maharashtra,District_38,Black,7.28,353.65,145.39,365.15
Tamil Nadu,District_16,Alluvial,6.46,277.75,84.41,250.71
Telangana,District_13,Black,8.45,417.82,90.59,355.59
Punjab,District_35,Laterite,6.72,336.36,204.34,66.42
Punjab,District_9,Red,6.02,339.0,156.55,369.78
Karnataka,District_29,Alluvial,7.16,123.02,147.9,222.16
Uttar Pradesh,District_12,Laterite,6.58,417.73,254.49,165.61
Telangana,District_49,Black,6.2,149.44,90.84,65.87
Karnataka,District_42,Laterite,6.51,180.2,249.85,339.14
Tamil Nadu,District_37,Alluvial,7.7,147.25,215.16,230.12
Punjab,District_35,Alluvial,6.4,434.15,285.12,211.24
Karnataka,District_4,Alluvial,7.23,453.74,206.77,279.47
Telangana,District_5,Red,5.5,490.96,134.49,143.32
Karnataka,District_25,Red,5.84,166.23,94.08,381.88
Andhra Pradesh,District_28,Black,7.74,440.05,54.4,118.07
Punjab,District_46,Laterite,6.12,332.72,280.59,391.29
Punjab,District_16,Laterite,7.88,460.92,168.86,281.94
Andhra Pradesh,District_20,Alluvial,6.33,216.94,51.34,362.58
Karnataka,District_7,Alluvial,6.13,210.91,279.99,322.57
Karnataka,District_37,Laterite,7.56,422.18,298.05,150.3
Madhya Pradesh,District_17,Black,5.8,199.09,290.13,329.72
Karnataka,District_43,Red,6.59,128.96,70.72,78.37
Uttar Pradesh,District_17,Laterite,5.73,276.23,116.43,85.31
Madhya Pradesh,District_50,Laterite,6.11,341.91,85.57,242.06
Karnataka,District_27,Laterite,5.97,382.63,79.46,395.41
Karnataka,District_21,Laterite,7.92,156.54,226.57,283.03
Uttar Pradesh,District_34,Black,7.24,305.81,125.54,100.48
Andhra Pradesh,District_49,Laterite,7.96,233.32,98.62,362.64
Maharashtra,District_40,Laterite,8.48,279.55,242.26,288.01
Tamil Nadu,District_20,Black,7.16,138.47,253.63,365.42
Andhra Pradesh,District_42,Alluvial,8.38,396.09,266.24,307.67
Karnataka,District_32,Alluvial,5.79,356.45,246.06,71.69
Maharashtra,District_45,Black,5.85,312.31,205.57,197.01
Madhya Pradesh,District_38,Alluvial,7.0,172.21,56.53,135.79
Maharashtra,District_22,Laterite,5.88,169.13,126.61,173.15
Punjab,District_15,Red,8.24,180.52,241.43,161.93
Punjab,District_36,Black,7.01,415.11,111.59,381.99
Tamil Nadu,District_50,Alluvial,8.13,244.16,281.85,103.03
Telangana,District_28,Red,6.16,249.99,275.78,181.59
Punjab,District_2,Laterite,7.46,242.12,214.1,373.2
Telangana,District_33,Red,6.31,151.04,269.48,93.81
Punjab,District_37,Alluvial,7.18,440.47,183.17,117.02
Telangana,District_22,Alluvial,8.1,327.58,72.94,318.02
Telangana,District_28,Black,6.36,497.94,272.94,212.05
Andhra Pradesh,District_10,Red,6.91,306.93,80.56,54.26
Madhya Pradesh,District_16,Black,7.04,375.69,253.9,221.63
Uttar Pradesh,District_50,Black,7.35,423.95,279.81,200.26
