state,district,year,rainfall_mm,avg_temperature_celsius,humidity
Punjab,District_46,2020,1089.38,30.66,86.23
Punjab,District_32,2010,896.51,34.26,41.19
Andhra Pradesh,District_38,2016,1452.94,26.72,51.0
Karnataka,District_31,2024,1319.32,37.89,41.16
Tamil Nadu,District_25,2018,936.93,37.0,43.64
Maharashtra,District_10,2019,1596.82,33.96,66.7
Punjab,District_49,2018,944.89,34.36,76.51
Madhya Pradesh,District_2,2012,1293.46,27.09,63.97
Karnataka,District_27,2021,967.05,36.32,59.3
Uttar Pradesh,District_12,2024,498.69,38.52,50.34
Uttar Pradesh,District_16,2020,574.03,35.49,51.83
Maharashtra,District_16,2022,1416.46,20.93,69.12
Telangana,District_3,2024,1679.08,35.31,82.79
Punjab,District_25,2010,1096.39,28.22,60.23
Maharashtra,District_18,2018,853.5,31.39,86.98
Punjab,District_39,2016,872.05,39.81,42.61
Andhra Pradesh,District_42,2017,1316.0,25.91,81.46
Karnataka,District_40,2020,1095.07,25.67,56.93
Punjab,District_32,2024,301.26,23.79,83.44
Karnataka,District_50,2015,1611.5,20.8,85.97
Tamil Nadu,District_49,2019,541.94,21.7,75.02
Telangana,District_3,2015,1447.18,29.31,57.75
Uttar Pradesh,District_8,2020,885.16,38.02,62.85
Uttar Pradesh,District_5,2024,1282.6,35.82,67.59
Tamil Nadu,District_20,2013,1753.7,22.01,63.1
Tamil Nadu,District_44,2011,562.26,30.36,79.56
Telangana,District_25,2010,1621.98,36.63,78.58
Andhra Pradesh,District_6,2023,365.12,29.87,40.63
Karnataka,District_28,2015,1866.33,38.05,47.58
Maharashtra,District_23,2018,642.7,37.97,58.18
Telangana,District_24,2019,1650.5,25.66,73.62
Tamil Nadu,District_10,2019,414.27,37.23,51.48
Madhya Pradesh,District_10,2011,855.98,30.87,56.14
Uttar Pradesh,District_33,2010,1377.03,28.56,63.1
Maharashtra,District_9,2010,1420.0,35.03,69.48
Punjab,District_18,2023,1487.98,35.37,85.09
Telangana,District_3,2016,896.46,32.86,80.23
Punjab,District_33,2023,1432.21,35.84,57.96
Telangana,District_10,2010,1028.45,38.93,78.4
Andhra Pradesh,District_27,2018,1262.06,37.21,81.63
Punjab,District_35,2018,1230.29,19.63,66.12
Andhra Pradesh,District_18,2020,585.84,36.7,54.8
Karnataka,District_7,2012,1739.22,35.19,87.15
Karnataka,District_7,2020,1774.14,38.39,88.11
Maharashtra,District_22,2011,646.33,34.27,51.23
Karnataka,District_10,2018,1008.11,37.31,79.25
Madhya Pradesh,District_27,2023,1090.29,18.22,42.09
Punjab,District_45,2023,1233.17,39.51,40.12
Punjab,District_4,2012,337.86,22.2,57.58
Telangana,District_12,2011,1589.99,37.01,63.13
Madhya Pradesh,District_3,2013,1765.33,38.45,67.32
Telangana,District_48,2024,541.73,18.05,58.91
Telangana,District_43,2016,1824.27,38.1,46.44
Punjab,District_3,2022,1746.55,36.24,57.24
Telangana,District_25,2013,1221.84,38.29,81.09
Andhra Pradesh,District_26,2017,767.04,21.89,56.79
Telangana,District_40,2021,652.73,35.1,69.62
Madhya Pradesh,District_7,2014,1131.51,28.72,74.04
Telangana,District_46,2023,1162.25,23.67,76.62
Telangana,District_34,2011,1408.18,34.64,64.4
Tamil Nadu,District_10,2022,1662.78,28.41,46.29
Punjab,District_3,2019,1888.65,37.8,85.03
Punjab,District_28,2013,1653.68,33.64,53.02
Maharashtra,District_11,2022,1845.38,21.06,56.95
Punjab,District_32,2021,1148.93,23.52,78.69
Madhya Pradesh,District_8,2022,366.1,23.82,78.18
Uttar Pradesh,District_20,2016,388.11,25.57,84.82
Maharashtra,District_5,2022,756.43,32.66,41.69
Madhya Pradesh,District_41,2010,1343.78,37.68,83.73
Madhya Pradesh,District_13,2016,869.88,31.06,79.61
Telangana,District_11,2012,582.44,34.54,66.25
Punjab,District_34,2016,1745.84,24.97,47.97
Telangana,District_44,2012,1974.49,29.49,67.25
Maharashtra,District_3,2021,328.29,29.09,49.7
Karnataka,District_15,2021,452.02,33.42,88.25
Tamil Nadu,District_33,2017,1148.88,29.4,75.44
Tamil Nadu,District_43,2013,874.03,25.35,69.81
Punjab,District_10,2010,1629.66,23.37,80.67
Karnataka,District_3,2010,1412.31,23.6,66.62
Telangana,District_46,2013,416.47,39.58,43.01
Maharashtra,District_48,2018,1226.3,25.86,52.95
Uttar Pradesh,District_41,2014,872.11,35.75,89.08
Tamil Nadu,District_14,2022,1940.69,19.57,82.54
Karnataka,District_33,2014,1107.97,19.97,86.37
Madhya Pradesh,District_33,2012,1877.03,33.1,44.89
Uttar Pradesh,District_36,2014,351.3,28.06,52.4
Karnataka,District_23,2016,475.57,37.37,43.16
Andhra Pradesh,District_1,2012,956.66,36.97,81.11
Punjab,District_27,2014,1807.83,34.62,48.7
Karnataka,District_32,2021,1225.83,35.94,60.5
Madhya Pradesh,District_21,2012,1701.04,37.15,53.48
Andhra Pradesh,District_44,2010,782.0,35.24,86.52
Andhra Pradesh,District_20,2015,489.54,29.59,70.42
Punjab,District_27,2012,718.27,23.82,79.98
Tamil Nadu,District_36,2011,1397.02,35.32,70.11
Uttar Pradesh,District_41,2012,1781.41,24.99,70.63
Uttar Pradesh,District_32,2022,1073.5,23.39,59.15
Telangana,District_39,2014,629.15,21.78,51.95
Telangana,District_29,2014,1383.94,31.8,57.42
Karnataka,District_46,2018,634.79,23.33,54.74
Maharashtra,District_23,2021,1269.49,26.25,74.56
Uttar Pradesh,District_35,2020,473.9,33.6,61.13
Uttar Pradesh,District_15,2018,1678.93,35.46,67.51
Maharashtra,District_43,2011,1668.78,24.92,78.55
Andhra Pradesh,District_10,2020,1220.13,36.54,53.33
Uttar Pradesh,District_15,2015,364.91,19.28,61.18
Punjab,District_25,2022,776.32,39.69,65.97
Karnataka,District_17,2018,535.08,27.17,42.69
Karnataka,District_31,2018,1189.87,25.15,47.61
Telangana,District_11,2020,472.95,38.32,43.18
Maharashtra,District_20,2015,1778.54,20.91,77.61
Tamil Nadu,District_31,2010,1745.28,25.87,55.0
Uttar Pradesh,District_16,2010,565.37,25.9,61.13
Uttar Pradesh,District_36,2018,1481.31,27.34,73.62
Punjab,District_39,2024,1484.06,36.66,88.32
Karnataka,District_11,2012,974.48,36.69,80.55
Madhya Pradesh,District_20,2014,560.1,31.02,42.89
Karnataka,District_26,2015,524.58,39.82,55.29
Telangana,District_49,2010,1557.11,36.57,42.45
Tamil Nadu,District_26,2024,674.3,32.98,43.08
Tamil Nadu,District_42,2010,1325.87,22.39,46.37
Madhya Pradesh,District_47,2013,1772.0,30.09,56.05
Madhya Pradesh,District_6,2015,1308.27,22.71,51.57
Tamil Nadu,District_45,2017,1955.74,24.64,57.61
Punjab,District_35,2016,1397.35,33.09,81.1
Tamil Nadu,District_8,2023,834.83,22.06,79.88
Uttar Pradesh,District_7,2011,1749.19,20.0,57.54
Maharashtra,District_37,2013,828.55,29.69,72.99
Punjab,District_50,2014,1951.67,18.02,58.63
Madhya Pradesh,District_16,2017,1112.14,31.4,59.3
Uttar Pradesh,District_9,2016,1920.52,37.83,73.79
Andhra Pradesh,District_11,2013,612.12,22.19,59.22
Uttar Pradesh,District_21,2017,319.38,26.42,67.46
Tamil Nadu,District_46,2020,633.42,38.16,45.76
Andhra Pradesh,District_7,2017,467.23,33.49,66.94
Andhra Pradesh,District_12,2013,1547.73,20.98,77.1
Uttar Pradesh,District_40,2020,749.73,26.4,84.42
Telangana,District_21,2021,1387.11,34.63,47.36
Tamil Nadu,District_5,2021,1436.72,32.63,60.54
Maharashtra,District_6,2011,1470.02,21.42,64.31
Madhya Pradesh,District_43,2024,1715.43,19.37,85.24
Telangana,District_26,2023,553.24,33.0,52.87
Uttar Pradesh,District_29,2012,385.79,31.4,48.28
Telangana,District_3,2014,350.5,19.31,47.07
Uttar Pradesh,District_11,2023,476.44,39.45,47.74
Andhra Pradesh,District_23,2010,944.62,23.55,83.48
Karnataka,District_25,2014,1944.54,26.49,70.99
Maharashtra,District_12,2013,900.48,21.91,61.04
Punjab,District_1,2014,1069.97,36.23,83.34
Madhya Pradesh,District_4,2021,1684.47,39.18,54.9
Madhya Pradesh,District_1,2021,1861.62,22.69,86.39
Madhya Pradesh,District_6,2010,1951.45,24.23,77.94
Tamil Nadu,District_34,2019,1704.97,33.54,41.03
Tamil Nadu,District_27,2016,1154.28,29.61,63.13
Maharashtra,District_45,2019,690.11,20.31,82.12
Tamil Nadu,District_16,2018,1317.22,38.43,59.81
Karnataka,District_11,2014,634.55,31.45,89.36
Punjab,District_14,2012,394.73,24.63,82.33
Karnataka,District_38,2018,1862.9,28.78,77.65
Madhya Pradesh,District_48,2015,1124.14,29.01,46.78
Tamil Nadu,District_49,2021,1164.01,29.56,45.39
Telangana,District_10,2015,1335.67,28.94,72.06
Madhya Pradesh,District_13,2019,1067.39,30.36,73.07
Punjab,District_45,2019,1055.53,26.65,47.38
Punjab,District_34,2022,1855.75,21.22,82.7
Madhya Pradesh,District_33,2012,1688.13,32.62,83.69
Tamil Nadu,District_33,2023,661.41,35.43,60.83
Tamil Nadu,District_39,2010,796.02,36.5,70.39
Maharashtra,District_13,2013,1423.06,18.48,65.54
Madhya Pradesh,District_17,2023,1270.86,26.9,41.78
Karnataka,District_9,2013,1602.47,39.53,44.52
Punjab,District_13,2012,1536.98,19.38,78.99
Telangana,District_16,2022,1504.53,35.28,64.42
Maharashtra,District_37,2023,1796.37,20.77,70.55
Maharashtra,District_30,2020,1603.14,36.14,70.64
Telangana,District_39,2014,712.84,32.79,58.98
Telangana,District_33,2022,1783.82,33.95,41.47
Maharashtra,District_40,2023,870.4,39.5,79.35
Tamil Nadu,District_6,2018,1848.52,38.67,63.42
Uttar Pradesh,District_12,2018,1701.26,24.7,46.95
Telangana,District_2,2017,425.95,26.25,41.05
Madhya Pradesh,District_33,2021,1611.18,26.96,40.88
Punjab,District_15,2019,1150.19,21.97,41.67
Andhra Pradesh,District_17,2015,1961.09,26.38,47.75
Telangana,District_35,2022,1079.31,39.54,51.57
Punjab,District_31,2013,413.91,28.77,52.36
Maharashtra,District_30,2023,798.33,38.96,71.61
Andhra Pradesh,District_38,2011,1031.36,19.57,52.08
Maharashtra,District_16,2021,1306.26,18.86,73.7
Karnataka,District_42,2022,558.58,30.66,81.17
Karnataka,District_45,2019,1175.64,34.2,59.24
Tamil Nadu,District_40,2012,1121.9,22.78,75.92
Madhya Pradesh,District_17,2018,1722.33,29.07,45.21
Madhya Pradesh,District_7,2010,814.08,37.2,56.4
Telangana,District_5,2016,1064.18,34.76,74.13
Uttar Pradesh,District_40,2019,960.64,23.1,86.59
Uttar Pradesh,District_27,2015,1374.79,25.36,70.78
Maharashtra,District_1,2011,1721.52,24.73,58.19
Andhra Pradesh,District_2,2014,1448.56,33.83,55.68
Punjab,District_4,2011,1090.58,39.3,59.58
Telangana,District_1,2023,1384.31,24.16,72.64
Tamil Nadu,District_29,2018,847.81,30.94,56.35
Maharashtra,District_21,2014,544.97,39.75,63.5
Punjab,District_42,2015,843.52,21.47,77.95
Punjab,District_35,2013,1054.27,32.5,51.89
Maharashtra,District_34,2024,1046.75,25.3,75.83
Karnataka,District_39,2010,1553.92,39.82,78.07
Tamil Nadu,District_2,2024,1891.79,20.39,83.18
Punjab,District_25,2012,961.23,27.93,41.19
Maharashtra,District_6,2014,446.96,23.61,45.69
Karnataka,District_8,2012,356.8,18.7,87.74
Uttar Pradesh,District_35,2017,306.72,39.2,46.29
Uttar Pradesh,District_19,2011,1894.77,30.5,64.39
Karnataka,District_9,2021,1992.58,33.42,48.35
Andhra Pradesh,District_33,2024,387.35,31.65,80.59
Punjab,District_8,2011,908.95,21.27,44.83
Tamil Nadu,District_38,2010,1437.89,21.75,44.28
Tamil Nadu,District_32,2021,604.21,31.78,65.24
Uttar Pradesh,District_23,2023,1310.54,35.16,51.91
Maharashtra,District_34,2010,1683.15,31.44,73.08
Uttar Pradesh,District_23,2013,1758.75,30.55,74.24
Andhra Pradesh,District_46,2017,1500.92,34.41,69.3
Telangana,District_32,2017,439.0,23.36,81.73
Maharashtra,District_1,2017,892.27,34.1,74.87
Karnataka,District_7,2020,1944.48,27.05,49.38
Telangana,District_43,2010,627.68,32.83,43.92
Telangana,District_48,2023,1071.67,24.04,77.39
Punjab,District_24,2010,868.1,21.02,77.0
Madhya Pradesh,District_2,2016,649.42,18.64,82.52
Madhya Pradesh,District_18,2016,850.01,35.68,50.12
Maharashtra,District_19,2019,622.18,22.33,51.16
Punjab,District_42,2023,1791.33,26.0,68.83
Andhra Pradesh,District_36,2014,596.55,34.91,47.78
Tamil Nadu,District_28,2017,1360.03,27.9,54.82
Andhra Pradesh,District_35,2015,1901.94,22.79,80.62
Maharashtra,District_32,2010,1919.5,22.28,56.71
Tamil Nadu,District_13,2023,1320.72,26.97,40.57
Telangana,District_6,2016,760.52,30.43,72.54
Uttar Pradesh,District_29,2024,721.43,26.63,49.03
Uttar Pradesh,District_10,2017,1570.7,37.9,49.79
Karnataka,District_40,2021,1967.2,18.08,40.83
Punjab,District_10,2017,431.91,26.84,68.9
Andhra Pradesh,District_34,2019,1642.1,34.34,68.1
Punjab,District_20,2022,509.08,37.6,44.82
Punjab,District_47,2024,806.92,25.88,42.52
Uttar Pradesh,District_33,2018,1263.26,32.82,64.54
Tamil Nadu,District_11,2012,805.28,30.77,79.06
Andhra Pradesh,District_24,2023,1405.44,22.43,87.69
Tamil Nadu,District_33,2011,1009.23,32.98,43.76
Karnataka,District_22,2017,672.49,23.49,75.41
Punjab,District_48,2023,1202.58,35.25,49.57
Maharashtra,District_12,2020,340.82,37.05,41.7
Uttar Pradesh,District_30,2013,1559.83,28.53,56.74
Maharashtra,District_32,2011,1187.89,19.19,68.69
Tamil Nadu,District_44,2011,1909.39,34.22,70.07
Tamil Nadu,District_19,2011,474.74,28.28,42.46
Maharashtra,District_45,2014,1544.9,20.08,86.39
Telangana,District_40,2023,811.62,25.29,42.73
Uttar Pradesh,District_2,2022,934.35,24.39,50.86
Telangana,District_14,2017,892.43,33.98,61.63
Uttar Pradesh,District_33,2018,908.64,27.33,87.28
Telangana,District_32,2020,1032.42,30.92,89.56
Uttar Pradesh,District_41,2015,335.71,29.02,40.02
Karnataka,District_19,2017,1739.49,33.93,51.23
Madhya Pradesh,District_14,2024,1799.05,33.8,65.07
Tamil Nadu,District_4,2015,367.25,27.87,74.72
Andhra Pradesh,District_2,2010,1619.21,20.97,72.84
Andhra Pradesh,District_10,2020,422.86,26.97,52.58
Tamil Nadu,District_29,2018,1673.28,21.52,49.88
Maharashtra,District_15,2019,1342.08,39.1,40.71
Madhya Pradesh,District_31,2016,820.8,38.9,82.14
Tamil Nadu,District_33,2011,1343.6,28.05,58.94
Telangana,District_29,2012,1161.3,18.61,83.22
Telangana,District_11,2011,1380.78,26.24,56.19
Andhra Pradesh,District_48,2018,1108.13,37.69,77.8
Tamil Nadu,District_45,2017,1613.89,24.34,43.48
Andhra Pradesh,District_40,2014,376.96,31.68,80.57
Maharashtra,District_9,2013,885.28,22.05,84.55
Punjab,District_47,2016,1250.79,36.15,53.24
Punjab,District_29,2023,1300.01,37.62,47.09
Punjab,District_37,2023,588.23,31.53,49.81
Karnataka,District_21,2018,426.7,31.72,83.39
Uttar Pradesh,District_31,2017,335.66,26.33,54.31
Karnataka,District_22,2017,1002.12,33.56,51.57
Maharashtra,District_18,2020,861.66,28.53,88.94
Telangana,District_2,2011,1265.27,34.4,73.5
Telangana,District_22,2021,1064.18,39.31,81.61
Madhya Pradesh,District_37,2021,969.92,36.09,77.35
Telangana,District_20,2019,1733.65,29.38,58.7
Andhra Pradesh,District_48,2018,1356.58,39.54,83.14
Uttar Pradesh,District_48,2011,1398.37,31.36,69.41
Punjab,District_4,2017,949.1,19.43,72.87
Andhra Pradesh,District_26,2014,1620.64,34.07,56.3
Karnataka,District_20,2020,558.55,36.04,89.06
Telangana,District_22,2015,983.4,20.97,82.73
Telangana,District_43,2019,380.2,32.94,47.41
Uttar Pradesh,District_20,2018,496.24,38.26,50.19
Punjab,District_29,2017,438.59,23.53,77.43
Uttar Pradesh,District_48,2014,1050.44,30.87,41.29
Madhya Pradesh,District_31,2015,1485.45,24.04,56.77
Maharashtra,District_23,2014,831.58,35.04,66.63
Karnataka,District_44,2018,345.24,30.77,50.25
Punjab,District_38,2020,1502.25,27.42,83.66
Andhra Pradesh,District_16,2021,652.64,18.64,84.46
Karnataka,District_19,2014,1528.55,38.79,87.84
Punjab,District_11,2015,312.5,28.95,47.32
Madhya Pradesh,District_12,2010,830.98,35.69,43.96
Telangana,District_36,2017,1356.09,26.62,67.8
Telangana,District_13,2023,1780.96,36.68,79.62
Andhra Pradesh,District_2,2017,1582.02,21.52,54.55
Uttar Pradesh,District_11,2023,1064.35,23.09,52.05
Andhra Pradesh,District_1,2017,1521.48,25.33,65.89
Karnataka,District_41,2022,1213.82,19.95,64.1
Tamil Nadu,District_10,2023,1682.77,27.76,63.98
Telangana,District_3,2021,1612.51,28.69,60.26
Telangana,District_8,2016,1958.95,20.53,76.35
Tamil Nadu,District_16,2016,478.39,27.4,70.73
Karnataka,District_36,2015,879.2,22.34,64.39
Maharashtra,District_43,2016,627.04,37.25,76.04
Maharashtra,District_40,2018,1372.31,29.2,53.08
Telangana,District_39,2014,1428.85,38.94,84.59
Maharashtra,District_20,2018,646.48,25.51,59.21
Uttar Pradesh,District_47,2023,1016.64,25.51,56.38
Karnataka,District_8,2018,1323.66,25.45,67.11
Maharashtra,District_10,2013,1420.22,23.9,53.52
Andhra Pradesh,District_37,2018,474.5,35.25,53.44
Karnataka,District_32,2017,1865.82,24.22,43.89
Tamil Nadu,District_27,2023,357.94,24.34,72.6
Telangana,District_31,2020,1954.0,19.03,85.64
Karnataka,District_3,2014,837.75,39.24,74.26
Maharashtra,District_39,2019,837.79,37.5,68.39
Karnataka,District_6,2024,1058.24,24.44,75.59
Punjab,District_17,2020,1481.43,29.46,88.32
Tamil Nadu,District_10,2012,571.32,28.62,56.82
Punjab,District_21,2018,733.47,19.93,61.53
Karnataka,District_29,2012,1934.67,29.69,54.31
Tamil Nadu,District_29,2012,1790.63,20.49,40.84
Tamil Nadu,District_20,2012,661.07,27.55,57.37
Karnataka,District_15,2010,1274.12,19.93,43.58
Telangana,District_2,2015,646.12,30.96,82.92
Uttar Pradesh,District_33,2012,1235.1,19.08,75.78
Telangana,District_12,2019,921.81,31.83,55.2
Maharashtra,District_13,2024,916.12,33.56,56.4
Punjab,District_44,2012,1379.62,30.56,68.48
Karnataka,District_44,2018,728.13,28.33,79.9
Punjab,District_39,2016,987.24,19.34,75.94
Punjab,District_39,2024,1872.94,18.25,41.44
Karnataka,District_38,2023,1584.12,25.53,79.26
Madhya Pradesh,District_45,2017,951.58,34.97,84.07
Andhra Pradesh,District_21,2010,691.45,32.24,44.49
Telangana,District_41,2017,1420.32,20.76,78.5
Madhya Pradesh,District_16,2017,1673.07,33.13,52.59
Madhya Pradesh,District_34,2021,1763.3,30.65,48.69
Tamil Nadu,District_27,2021,1259.28,21.67,67.19
Madhya Pradesh,District_43,2023,1178.56,34.62,67.63
Andhra Pradesh,District_3,2017,1523.39,36.27,63.54
Karnataka,District_9,2015,598.8,23.12,85.09
Andhra Pradesh,District_44,2019,1748.64,31.99,52.08
Telangana,District_34,2023,425.67,26.32,70.13
Karnataka,District_19,2014,1325.13,19.29,60.49
Madhya Pradesh,District_38,2013,1302.48,36.95,83.69
Punjab,District_26,2020,828.19,36.06,46.64
Punjab,District_23,2018,360.29,24.99,44.15
Telangana,District_18,2016,1520.35,29.69,89.64
Andhra Pradesh,District_45,2021,341.1,29.27,68.86
Madhya Pradesh,District_46,2024,605.34,21.9,85.6
Madhya Pradesh,District_40,2023,1225.2,21.2,60.41
Maharashtra,District_41,2024,1897.97,36.57,70.21
Uttar Pradesh,District_45,2010,412.09,37.08,74.7
Madhya Pradesh,District_49,2020,1283.94,33.95,89.31
Tamil Nadu,District_38,2010,859.12,19.6,45.64
Tamil Nadu,District_10,2010,1438.01,38.0,46.24
Uttar Pradesh,District_43,2013,1919.94,39.58,66.16
Uttar Pradesh,District_10,2018,756.6,35.06,42.79
Maharashtra,District_21,2012,1925.08,25.78,76.37
Maharashtra,District_38,2019,1780.06,26.93,89.54
Maharashtra,District_38,2010,1332.0,37.13,80.57
Telangana,District_47,2023,1589.0,24.16,53.29
Madhya Pradesh,District_7,2010,1770.31,21.12,79.98
Karnataka,District_12,2012,1665.9,36.1,71.39
Maharashtra,District_41,2022,855.4,22.25,45.97
Madhya Pradesh,District_33,2024,1681.43,37.96,68.3
Madhya Pradesh,District_25,2020,832.98,31.11,84.84
Telangana,District_28,2024,1774.03,30.22,54.5
Punjab,District_24,2016,734.29,35.07,72.96
Andhra Pradesh,District_48,2017,1272.84,18.36,42.08
Andhra Pradesh,District_31,2013,1477.97,33.7,81.71
Maharashtra,District_18,2021,1023.85,31.17,50.3
Andhra Pradesh,District_23,2011,1631.05,29.52,70.43
Maharashtra,District_7,2016,1873.11,22.78,66.21
Andhra Pradesh,District_50,2018,616.63,36.25,67.41
Madhya Pradesh,District_8,2019,356.85,23.51,52.69
Madhya Pradesh,District_15,2015,1365.08,28.78,67.96
Andhra Pradesh,District_38,2023,1323.72,21.48,70.14
Karnataka,District_28,2011,880.22,39.42,61.27
Madhya Pradesh,District_27,2018,1635.29,22.28,71.66
Uttar Pradesh,District_21,2016,1704.44,35.67,49.58
Karnataka,District_44,2018,864.38,23.79,65.63
Andhra Pradesh,District_27,2020,1459.86,23.63,75.84
Karnataka,District_47,2011,1391.44,27.28,58.4
Maharashtra,District_47,2019,882.5,36.61,60.56
Tamil Nadu,District_42,2013,1947.55,33.13,48.21
Maharashtra,District_41,2015,888.88,37.18,70.82
Madhya Pradesh,District_14,2019,1354.48,19.04,46.18
Madhya Pradesh,District_21,2016,946.21,39.03,65.04
Karnataka,District_14,2023,320.12,19.7,50.52
Telangana,District_49,2012,455.79,33.86,49.71
Uttar Pradesh,District_43,2023,694.94,22.56,44.79
Andhra Pradesh,District_6,2022,1680.69,36.5,57.87
Karnataka,District_12,2019,1051.51,36.97,83.37
Punjab,District_28,2020,1300.66,30.13,70.25
Punjab,District_49,2020,1904.56,26.86,78.96
Uttar Pradesh,District_29,2014,549.94,35.45,45.73
Madhya Pradesh,District_37,2020,1765.09,37.23,55.67
Uttar Pradesh,District_38,2013,944.7,34.24,59.43
Karnataka,District_3,2014,873.72,37.95,83.0
Karnataka,District_33,2015,1363.4,31.78,73.22
Madhya Pradesh,District_50,2015,1827.69,32.75,64.52
Punjab,District_46,2023,892.51,30.58,55.02
Uttar Pradesh,District_12,2016,1594.39,28.74,78.0
Maharashtra,District_12,2015,332.71,32.41,84.42
Uttar Pradesh,District_11,2023,1359.27,30.35,66.84
Andhra Pradesh,District_28,2015,1371.95,34.09,42.17
Tamil Nadu,District_35,2013,1245.3,38.55,53.59
Punjab,District_34,2011,1894.3,26.21,77.29
Punjab,District_22,2019,1895.61,27.05,59.38
Punjab,District_39,2016,881.5,18.33,71.3
Uttar Pradesh,District_23,2016,1075.82,29.59,66.23
Uttar Pradesh,District_12,2020,1647.04,20.89,85.39
Karnataka,District_19,2012,1734.65,33.75,55.35
Uttar Pradesh,District_31,2023,1010.55,35.15,62.3
Telangana,District_13,2024,893.35,33.9,43.24
Punjab,District_19,2014,1695.05,30.03,80.25
Madhya Pradesh,District_36,2015,940.68,29.75,56.29
Andhra Pradesh,District_22,2019,988.89,32.22,76.1
Uttar Pradesh,District_44,2018,530.4,30.2,40.15
Uttar Pradesh,District_30,2012,1223.01,34.51,83.37
Tamil Nadu,District_4,2022,854.96,37.68,88.6
Punjab,District_13,2012,1304.03,29.79,63.5
Telangana,District_20,2014,1061.96,20.43,64.13
Punjab,District_39,2011,1571.83,20.88,70.82
Uttar Pradesh,District_6,2012,772.21,26.27,88.76
Tamil Nadu,District_44,2024,592.4,28.92,67.93
Tamil Nadu,District_12,2024,1495.03,22.95,43.69
Punjab,District_16,2015,953.02,27.96,68.26
Uttar Pradesh,District_45,2012,1258.13,20.99,60.95
Andhra Pradesh,District_17,2010,1899.82,23.3,78.04
Maharashtra,District_8,2016,1122.96,34.15,55.17
Madhya Pradesh,District_33,2016,559.07,39.68,86.22
Telangana,District_44,2011,1025.4,22.1,80.0
Punjab,District_39,2014,1113.5,25.46,56.33
Karnataka,District_12,2018,1602.16,25.72,57.6
Tamil Nadu,District_26,2022,631.82,22.91,65.89
Telangana,District_19,2012,889.73,22.49,44.98
Andhra Pradesh,District_13,2017,385.05,20.9,74.51
Telangana,District_10,2013,1493.36,37.97,70.46
Karnataka,District_34,2012,1564.68,32.29,55.94
Karnataka,District_31,2011,1077.23,24.39,71.9
Andhra Pradesh,District_27,2023,1215.06,23.68,44.91
Telangana,District_3,2024,1574.68,30.97,87.6
Punjab,District_44,2022,756.11,33.34,43.35
Maharashtra,District_5,2018,1331.84,23.57,56.44
Maharashtra,District_5,2020,1938.66,25.64,88.53
Punjab,District_37,2014,1418.55,24.39,59.92
Tamil Nadu,District_7,2018,432.79,19.93,84.28
Madhya Pradesh,District_40,2017,793.44,26.5,47.54
Punjab,District_48,2012,1182.52,29.74,43.34
Uttar Pradesh,District_42,2013,423.54,32.42,45.41
Madhya Pradesh,District_13,2021,1450.17,27.17,88.6
Tamil Nadu,District_34,2015,1412.16,39.63,44.44
Telangana,District_36,2020,1789.75,31.77,72.59
Punjab,District_34,2019,1149.99,37.5,62.03
Madhya Pradesh,District_3,2021,1476.64,38.15,83.04
Madhya Pradesh,District_10,2014,609.43,36.07,54.72
Uttar Pradesh,District_43,2019,304.88,23.94,41.45
Tamil Nadu,District_35,2019,592.83,27.49,77.43
Karnataka,District_37,2012,405.76,18.01,69.44
Andhra Pradesh,District_6,2014,1027.12,27.93,61.73
Tamil Nadu,District_21,2014,1096.12,24.46,56.15
Punjab,District_45,2018,1395.6,20.46,84.97
Madhya Pradesh,District_5,2013,539.31,36.45,46.09
Madhya Pradesh,District_3,2017,665.02,32.82,47.07
Maharashtra,District_20,2013,1657.15,39.98,40.74
Punjab,District_30,2019,1280.09,28.96,43.63
Karnataka,District_12,2011,349.92,25.28,82.86
Madhya Pradesh,District_35,2012,1742.29,23.8,79.68
Uttar Pradesh,District_32,2022,1370.67,27.58,45.12
Maharashtra,District_19,2013,617.29,24.82,78.99
Tamil Nadu,District_15,2017,728.51,39.8,72.05
Punjab,District_10,2018,1241.03,22.02,59.37
Tamil Nadu,District_26,2021,1253.36,18.42,44.21
Uttar Pradesh,District_6,2021,1668.82,20.86,70.12
Madhya Pradesh,District_48,2015,909.59,37.61,81.98
Karnataka,District_47,2023,1233.82,33.27,61.04
Maharashtra,District_26,2017,1290.31,35.25,61.22
Andhra Pradesh,District_2,2021,1249.75,25.05,81.33
Andhra Pradesh,District_49,2019,423.94,31.7,50.53
Uttar Pradesh,District_48,2014,999.13,33.57,48.62
Karnataka,District_32,2014,876.1,25.18,74.78
Punjab,District_3,2017,1987.72,33.94,72.82
Tamil Nadu,District_19,2024,1091.67,31.85,85.61
Punjab,District_36,2024,1039.89,24.52,56.71
Karnataka,District_20,2013,1122.27,19.16,50.1
Maharashtra,District_30,2022,1862.78,23.23,61.44
Andhra Pradesh,District_37,2012,1339.47,31.63,59.19
Tamil Nadu,District_45,2019,961.54,31.18,86.9
Madhya Pradesh,District_20,2024,1851.38,29.17,85.88
Maharashtra,District_34,2011,1880.73,23.53,61.41
Andhra Pradesh,District_44,2024,749.33,27.78,60.62
Madhya Pradesh,District_17,2022,968.77,21.17,62.25
Andhra Pradesh,District_42,2021,1942.98,32.57,76.54
Telangana,District_23,2017,1219.78,37.12,67.5
Tamil Nadu,District_41,2021,1033.97,28.2,54.4
